dataset,rare_class,seed,rts,variant,group,sep,split_hash,git_sha,cell_id_align_hash,abstain,chosen_rank,baseline_f1,rare_f1,rare_recall,rare_precision,n_rescued,n_false_rescues,ffr
immune_dc,ASDC,43,all,A2_minus_necessity,A,1.9374,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9444,0.9528,0.9308,0.9758,2,0,0.0
immune_dc,ASDC,43,all,A3_minus_adaptive_rank,A,1.9374,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9444,0.9528,0.9308,0.9758,2,0,0.0
immune_dc,ASDC,43,all,A4_minus_tau,A,1.9374,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9444,0.9528,0.9308,0.9758,2,0,0.0
immune_dc,ASDC,43,all,A5_full,A,1.9374,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9444,0.9528,0.9308,0.9758,2,0,0.0
immune_dc,ASDC,43,all,R1_rank1,R,1.9374,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9444,0.9528,0.9308,0.9758,2,0,0.0
immune_dc,ASDC,43,all,R2_rank2,R,1.9374,33b8ce5bdff2e437,7a90a01,0311166af38c,False,2,0.9444,0.8301,0.9769,0.7216,54,46,0.007662
immune_dc,ASDC,43,all,R3_rank3,R,1.9374,33b8ce5bdff2e437,7a90a01,0311166af38c,False,3,0.9444,0.8194,0.9769,0.7056,58,50,0.008328
immune_dc,ASDC,43,all,R_adaptive,R,1.9374,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9444,0.9528,0.9308,0.9758,2,0,0.0
immune_dc,ASDC,44,0.01,A0_baseline,A,2.7583,33b8ce5bdff2e437,7a90a01,0311166af38c,False,0,0.0,0.0,0.0,0.0,0,0,0.0
immune_dc,ASDC,44,0.01,A1_minus_sep,A,2.7583,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.0,0.9474,0.9,1.0,117,0,0.0
immune_dc,ASDC,44,0.01,A2_minus_necessity,A,2.7583,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.0,0.9474,0.9,1.0,117,0,0.0
immune_dc,ASDC,44,0.01,A3_minus_adaptive_rank,A,2.7583,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.0,0.9474,0.9,1.0,117,0,0.0
immune_dc,ASDC,44,0.01,A4_minus_tau,A,2.7583,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.0,0.9474,0.9,1.0,117,0,0.0
immune_dc,ASDC,44,0.01,A5_full,A,2.7583,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.0,0.9474,0.9,1.0,117,0,0.0
immune_dc,ASDC,44,0.01,R1_rank1,R,2.7583,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.0,0.9474,0.9,1.0,117,0,0.0
immune_dc,ASDC,44,0.01,R2_rank2,R,2.7583,33b8ce5bdff2e437,7a90a01,0311166af38c,False,2,0.0,0.8306,0.9615,0.731,171,46,0.007662
immune_dc,ASDC,44,0.01,R3_rank3,R,2.7583,33b8ce5bdff2e437,7a90a01,0311166af38c,False,3,0.0,0.8013,0.9615,0.6868,182,57,0.009494
immune_dc,ASDC,44,0.01,R_adaptive,R,2.7583,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.0,0.9474,0.9,1.0,117,0,0.0
immune_dc,ASDC,44,0.05,A0_baseline,A,1.6314,33b8ce5bdff2e437,7a90a01,0311166af38c,False,0,0.8803,0.8803,0.7923,0.9904,0,0,0.0
immune_dc,ASDC,44,0.05,A1_minus_sep,A,1.6314,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.8803,0.9375,0.9231,0.9524,22,5,0.000833
immune_dc,ASDC,44,0.05,A2_minus_necessity,A,1.6314,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.8803,0.9375,0.9231,0.9524,22,5,0.000833
immune_dc,ASDC,44,0.05,A3_minus_adaptive_rank,A,1.6314,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.8803,0.9375,0.9231,0.9524,22,5,0.000833
immune_dc,ASDC,44,0.05,A4_minus_tau,A,1.6314,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.8803,0.9375,0.9231,0.9524,22,5,0.000833
immune_dc,ASDC,44,0.05,A5_full,A,1.6314,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.8803,0.9375,0.9231,0.9524,22,5,0.000833
immune_dc,ASDC,44,0.05,R1_rank1,R,1.6314,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.8803,0.9375,0.9231,0.9524,22,5,0.000833
immune_dc,ASDC,44,0.05,R2_rank2,R,1.6314,33b8ce5bdff2e437,7a90a01,0311166af38c,False,2,0.8803,0.7975,0.9692,0.6774,82,59,0.009827
immune_dc,ASDC,44,0.05,R3_rank3,R,1.6314,33b8ce5bdff2e437,7a90a01,0311166af38c,False,3,0.8803,0.7754,0.9692,0.6462,91,68,0.011326
immune_dc,ASDC,44,0.05,R_adaptive,R,1.6314,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.8803,0.9375,0.9231,0.9524,22,5,0.000833
immune_dc,ASDC,44,0.10,A0_baseline,A,1.9127,33b8ce5bdff2e437,7a90a01,0311166af38c,False,0,0.9212,0.9212,0.8538,1.0,0,0,0.0
immune_dc,ASDC,44,0.10,A1_minus_sep,A,1.9127,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9212,0.9453,0.9308,0.9603,15,5,0.000833
