dataset,rare_train_size,contrast,metric,n_seeds,median_oriented_delta,min_oriented_delta,max_oriented_delta,seed_direction_rate
pancreas_baron,0.01,H3b_true_rescued_vs_closest_competitor,rare_standardized_distance,1,0.898074074074074,0.898074074074074,0.898074074074074,1.0
pancreas_baron,0.01,H3b_true_rescued_vs_closest_competitor,standardized_prototype_margin,1,0.983111111111111,0.983111111111111,0.983111111111111,1.0
pancreas_baron,0.01,H3b_true_rescued_vs_closest_competitor,rare_prototype_distance,1,0.898074074074074,0.898074074074074,0.898074074074074,1.0
pancreas_baron,0.01,H3b_true_rescued_vs_closest_competitor,nearest_nonrare_distance,1,0.8702222222222222,0.8702222222222222,0.8702222222222222,1.0
pancreas_baron,0.01,H3b_true_rescued_vs_closest_competitor,prototype_margin,1,0.9922962962962962,0.9922962962962962,0.9922962962962962,1.0
pancreas_baron,0.05,H1_baseline_correct_vs_true_rescued,rare_membership_score,1,0.3434343434343434,0.3434343434343434,0.3434343434343434,1.0
pancreas_baron,0.05,H1_baseline_correct_vs_true_rescued,rare_rank,1,0.38888888888888884,0.38888888888888884,0.38888888888888884,1.0
pancreas_baron,0.05,H1_baseline_correct_vs_true_rescued,rare_standardized_distance,1,0.0033670033670033517,0.0033670033670033517,0.0033670033670033517,1.0
pancreas_baron,0.05,H1_baseline_correct_vs_true_rescued,standardized_prototype_margin,1,0.3535353535353536,0.3535353535353536,0.3535353535353536,1.0
pancreas_baron,0.05,H1_baseline_correct_vs_true_rescued,rare_prototype_distance,1,0.0033670033670033517,0.0033670033670033517,0.0033670033670033517,1.0
pancreas_baron,0.05,H1_baseline_correct_vs_true_rescued,nearest_nonrare_distance,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0
pancreas_baron,0.05,H1_baseline_correct_vs_true_rescued,prototype_margin,1,0.34006734006733996,0.34006734006733996,0.34006734006733996,1.0
pancreas_baron,0.05,H2_true_rescued_vs_unrescued,rare_membership_score,1,0.9717813051146384,0.9717813051146384,0.9717813051146384,1.0
pancreas_baron,0.05,H2_true_rescued_vs_unrescued,rare_rank,1,1.0,1.0,1.0,1.0
pancreas_baron,0.05,H2_true_rescued_vs_unrescued,rare_standardized_distance,1,0.5890652557319225,0.5890652557319225,0.5890652557319225,1.0
pancreas_baron,0.05,H2_true_rescued_vs_unrescued,standardized_prototype_margin,1,0.9153439153439153,0.9153439153439153,0.9153439153439153,1.0
pancreas_baron,0.05,H2_true_rescued_vs_unrescued,rare_prototype_distance,1,0.5890652557319225,0.5890652557319225,0.5890652557319225,1.0
pancreas_baron,0.05,H2_true_rescued_vs_unrescued,nearest_nonrare_distance,1,0.6790123456790123,0.6790123456790123,0.6790123456790123,1.0
pancreas_baron,0.05,H2_true_rescued_vs_unrescued,prototype_margin,1,0.9329805996472662,0.9329805996472662,0.9329805996472662,1.0
pancreas_baron,0.05,H3a_true_rescued_vs_non_target,rare_membership_score,1,0.99778410889522,0.99778410889522,0.99778410889522,1.0
pancreas_baron,0.05,H3a_true_rescued_vs_non_target,rare_rank,1,0.9918599918599919,0.9918599918599919,0.9918599918599919,1.0
pancreas_baron,0.05,H3a_true_rescued_vs_non_target,rare_standardized_distance,1,0.9826346493013159,0.9826346493013159,0.9826346493013159,1.0
pancreas_baron,0.05,H3a_true_rescued_vs_non_target,standardized_prototype_margin,1,0.9941211052322163,0.9941211052322163,0.9941211052322163,1.0
pancreas_baron,0.05,H3a_true_rescued_vs_non_target,rare_prototype_distance,1,0.9826346493013159,0.9826346493013159,0.9826346493013159,1.0
pancreas_baron,0.05,H3a_true_rescued_vs_non_target,nearest_nonrare_distance,1,0.6825849048071271,0.6825849048071271,0.6825849048071271,1.0
pancreas_baron,0.05,H3a_true_rescued_vs_non_target,prototype_margin,1,0.9927644372088817,0.9927644372088817,0.9927644372088817,1.0
pancreas_baron,0.05,H3b_true_rescued_vs_closest_competitor,rare_membership_score,1,0.9851851851851852,0.9851851851851852,0.9851851851851852,1.0
pancreas_baron,0.05,H3b_true_rescued_vs_closest_competitor,rare_rank,1,0.9906666666666667,0.9906666666666667,0.9906666666666667,1.0
pancreas_baron,0.05,H3b_true_rescued_vs_closest_competitor,rare_standardized_distance,1,0.898074074074074,0.898074074074074,0.898074074074074,1.0
pancreas_baron,0.05,H3b_true_rescued_vs_closest_competitor,standardized_prototype_margin,1,0.983111111111111,0.983111111111111,0.983111111111111,1.0
pancreas_baron,0.05,H3b_true_rescued_vs_closest_competitor,rare_prototype_distance,1,0.898074074074074,0.898074074074074,0.898074074074074,1.0
pancreas_baron,0.05,H3b_true_rescued_vs_closest_competitor,nearest_nonrare_distance,1,0.8702222222222222,0.8702222222222222,0.8702222222222222,1.0
pancreas_baron,0.05,H3b_true_rescued_vs_closest_competitor,prototype_margin,1,0.9922962962962962,0.9922962962962962,0.9922962962962962,1.0
pancreas_baron,0.10,H1_baseline_correct_vs_true_rescued,rare_membership_score,2,0.0634768740031898,-0.23444976076555024,0.36140350877192984,0.5
pancreas_baron,0.10,H1_baseline_correct_vs_true_rescued,rare_rank,2,-0.1578947368421053,-0.22807017543859653,-0.08771929824561409,0.0
pancreas_baron,0.10,H1_baseline_correct_vs_true_rescued,rare_standardized_distance,2,0.007017543859649145,-0.26315789473684204,0.2771929824561403,0.5
pancreas_baron,0.10,H1_baseline_correct_vs_true_rescued,standardized_prototype_margin,2,0.05677830940988837,-0.17065390749601272,0.28421052631578947,0.5
pancreas_baron,0.10,H1_baseline_correct_vs_true_rescued,rare_prototype_distance,2,0.007017543859649145,-0.26315789473684204,0.2771929824561403,0.5
pancreas_baron,0.10,H1_baseline_correct_vs_true_rescued,nearest_nonrare_distance,2,0.1189792663476874,0.0035087719298245723,0.23444976076555024,1.0
pancreas_baron,0.10,H1_baseline_correct_vs_true_rescued,prototype_margin,2,0.11642743221690594,-0.06539074960127589,0.29824561403508776,0.5
pancreas_baron,0.10,H2_true_rescued_vs_unrescued,rare_membership_score,2,0.975,0.95,1.0,1.0
pancreas_baron,0.10,H2_true_rescued_vs_unrescued,rare_rank,2,0.8611111111111112,0.7222222222222222,1.0,1.0
pancreas_baron,0.10,H2_true_rescued_vs_unrescued,rare_standardized_distance,2,0.7227272727272727,0.5666666666666667,0.8787878787878788,1.0
pancreas_baron,0.10,H2_true_rescued_vs_unrescued,standardized_prototype_margin,2,1.0,1.0,1.0,1.0
pancreas_baron,0.10,H2_true_rescued_vs_unrescued,rare_prototype_distance,2,0.7227272727272727,0.5666666666666667,0.8787878787878788,1.0
pancreas_baron,0.10,H2_true_rescued_vs_unrescued,nearest_nonrare_distance,2,0.26262626262626265,-0.14141414141414144,0.6666666666666667,0.5
pancreas_baron,0.10,H2_true_rescued_vs_unrescued,prototype_margin,2,0.98989898989899,0.9797979797979799,1.0,1.0
pancreas_baron,0.10,H3a_true_rescued_vs_non_target,rare_membership_score,2,0.9965922965922966,0.994893994893995,0.9982905982905983,1.0
pancreas_baron,0.10,H3a_true_rescued_vs_non_target,rare_rank,2,0.9896214896214897,0.9816849816849816,0.9975579975579976,1.0
pancreas_baron,0.10,H3a_true_rescued_vs_non_target,rare_standardized_distance,2,0.9853479853479854,0.9841269841269842,0.9865689865689866,1.0
pancreas_baron,0.10,H3a_true_rescued_vs_non_target,standardized_prototype_margin,2,0.9986235986235986,0.9982239982239982,0.999023199023199,1.0
pancreas_baron,0.10,H3a_true_rescued_vs_non_target,rare_prototype_distance,2,0.9853479853479854,0.9841269841269842,0.9865689865689866,1.0
pancreas_baron,0.10,H3a_true_rescued_vs_non_target,nearest_nonrare_distance,2,0.5738927738927738,0.43056943056943053,0.7172161172161171,1.0
pancreas_baron,0.10,H3a_true_rescued_vs_non_target,prototype_margin,2,0.9967920967920968,0.9957819957819958,0.9978021978021978,1.0
pancreas_baron,0.10,H3b_true_rescued_vs_closest_competitor,rare_membership_score,2,0.9058909090909091,0.8181818181818181,0.9936,1.0
pancreas_baron,0.10,H3b_true_rescued_vs_closest_competitor,rare_rank,2,1.0,1.0,1.0,1.0
pancreas_baron,0.10,H3b_true_rescued_vs_closest_competitor,rare_standardized_distance,2,0.6322181818181818,0.36363636363636365,0.9008,1.0
pancreas_baron,0.10,H3b_true_rescued_vs_closest_competitor,standardized_prototype_margin,2,1.0,1.0,1.0,1.0
pancreas_baron,0.10,H3b_true_rescued_vs_closest_competitor,rare_prototype_distance,2,0.6322181818181818,0.36363636363636365,0.9008,1.0
pancreas_baron,0.10,H3b_true_rescued_vs_closest_competitor,nearest_nonrare_distance,2,0.9568,0.9136,1.0,1.0
pancreas_baron,0.10,H3b_true_rescued_vs_closest_competitor,prototype_margin,2,1.0,1.0,1.0,1.0
pancreas_integrated,0.01,H3a_true_rescued_vs_non_target,rare_membership_score,1,1.0,1.0,1.0,1.0
pancreas_integrated,0.01,H3a_true_rescued_vs_non_target,rare_rank,1,1.0,1.0,1.0,1.0
pancreas_integrated,0.01,H3a_true_rescued_vs_non_target,rare_standardized_distance,1,0.9999488791759323,0.9999488791759323,0.9999488791759323,1.0
pancreas_integrated,0.01,H3a_true_rescued_vs_non_target,standardized_prototype_margin,1,0.9999488791759323,0.9999488791759323,0.9999488791759323,1.0
pancreas_integrated,0.01,H3a_true_rescued_vs_non_target,rare_prototype_distance,1,0.9999488791759323,0.9999488791759323,0.9999488791759323,1.0
pancreas_integrated,0.01,H3a_true_rescued_vs_non_target,nearest_nonrare_distance,1,0.8914704905043069,0.8914704905043069,0.8914704905043069,1.0
pancreas_integrated,0.01,H3a_true_rescued_vs_non_target,prototype_margin,1,1.0,1.0,1.0,1.0
pancreas_integrated,0.01,H3b_true_rescued_vs_closest_competitor,rare_membership_score,1,1.0,1.0,1.0,1.0
pancreas_integrated,0.01,H3b_true_rescued_vs_closest_competitor,rare_rank,1,1.0,1.0,1.0,1.0
pancreas_integrated,0.01,H3b_true_rescued_vs_closest_competitor,rare_standardized_distance,1,0.9989264626945786,0.9989264626945786,0.9989264626945786,1.0
pancreas_integrated,0.01,H3b_true_rescued_vs_closest_competitor,standardized_prototype_margin,1,1.0,1.0,1.0,1.0
pancreas_integrated,0.01,H3b_true_rescued_vs_closest_competitor,rare_prototype_distance,1,0.9989264626945786,0.9989264626945786,0.9989264626945786,1.0
