dataset,seed,rare_train_size,primary_group,metric,n,median,q25,q75
tabula_sapiens_stomach,44,0.01,non_target,rare_membership_score,9543,0.018899514453281724,0.016838857709114745,0.021632293488300414
tabula_sapiens_stomach,44,0.01,true_rescued_rare,rare_membership_score,4,0.06238928932526994,0.05516513541773608,0.07067730357193784
tabula_sapiens_stomach,44,0.01,unrescued_rare,rare_membership_score,14,0.019036995373283176,0.01570527915595707,0.04152603093934146
tabula_sapiens_stomach,44,0.01,baseline_correct_rare,rare_membership_score,14,0.08973023851338775,0.07414324302183369,0.12390934158972976
tabula_sapiens_stomach,44,0.05,non_target,rare_membership_score,9543,0.018899514453281724,0.016838857709114745,0.021632293488300414
tabula_sapiens_stomach,44,0.05,true_rescued_rare,rare_membership_score,4,0.06238928932526994,0.05516513541773608,0.07067730357193784
tabula_sapiens_stomach,44,0.05,unrescued_rare,rare_membership_score,14,0.019036995373283176,0.01570527915595707,0.04152603093934146
tabula_sapiens_stomach,44,0.05,baseline_correct_rare,rare_membership_score,14,0.08973023851338775,0.07414324302183369,0.12390934158972976
tabula_sapiens_stomach,44,0.10,non_target,rare_membership_score,9543,0.018899514453281724,0.016838857709114745,0.021632293488300414
tabula_sapiens_stomach,44,0.10,true_rescued_rare,rare_membership_score,4,0.06238928932526994,0.05516513541773608,0.07067730357193784
tabula_sapiens_stomach,44,0.10,unrescued_rare,rare_membership_score,14,0.019036995373283176,0.01570527915595707,0.04152603093934146
tabula_sapiens_stomach,44,0.10,baseline_correct_rare,rare_membership_score,14,0.08973023851338775,0.07414324302183369,0.12390934158972976
tabula_sapiens_stomach,44,all,non_target,rare_membership_score,9543,0.03840693945874412,0.03483636991314383,0.042615393671359525
tabula_sapiens_stomach,44,all,true_rescued_rare,rare_membership_score,5,0.10323216970141025,0.07982472805054093,0.10689253427058346
tabula_sapiens_stomach,44,all,unrescued_rare,rare_membership_score,13,0.033670448567244556,0.02920210603108591,0.05992233426878769
tabula_sapiens_stomach,44,all,baseline_correct_rare,rare_membership_score,14,0.13324343604920175,0.11045278160856073,0.18126889048484074
tabula_small_intestine,42,0.01,non_target,rare_membership_score,6288,0.005085352170897929,0.004128230794512181,0.0061094085313817634
tabula_small_intestine,42,0.01,baseline_correct_rare,rare_membership_score,65,0.13319257551474092,0.10920388881774047,0.16144915191517167
tabula_small_intestine,42,0.05,non_target,rare_membership_score,6288,0.011908555997178485,0.010157504425095047,0.013825920286048376
tabula_small_intestine,42,0.05,baseline_correct_rare,rare_membership_score,65,0.14377963443586905,0.12109879923445657,0.16460367483902566
tabula_small_intestine,42,0.10,non_target,rare_membership_score,6288,0.014477371454969839,0.012239594102921232,0.016918592159991495
tabula_small_intestine,42,0.10,baseline_correct_rare,rare_membership_score,65,0.15506223599298388,0.13068569955075018,0.17611836778845671
tabula_small_intestine,42,all,non_target,rare_membership_score,6288,0.012096615831859281,0.010219685092928116,0.014149529665569545
tabula_small_intestine,42,all,baseline_correct_rare,rare_membership_score,65,0.14510971880396623,0.12282048200473046,0.16907010206616527
tabula_small_intestine,43,0.01,non_target,rare_membership_score,6288,0.015437176793935463,0.013328000698514397,0.017908900780255213
tabula_small_intestine,43,0.01,baseline_correct_rare,rare_membership_score,65,0.18776002589659588,0.1673024250819368,0.20982112544232373
tabula_small_intestine,43,0.05,non_target,rare_membership_score,6288,0.012136536863901808,0.010496471142425546,0.01423887351756275
tabula_small_intestine,43,0.05,baseline_correct_rare,rare_membership_score,65,0.16644324280438186,0.14113630160474808,0.19230730333773954
tabula_small_intestine,43,0.10,non_target,rare_membership_score,6288,0.005550100841587812,0.004730076437251589,0.006604051126694986
tabula_small_intestine,43,0.10,baseline_correct_rare,rare_membership_score,65,0.15096770869014284,0.12404193311221663,0.17467341756572727
tabula_small_intestine,43,all,non_target,rare_membership_score,6288,0.008958904754812706,0.007777540640524798,0.010428632872351582
tabula_small_intestine,43,all,baseline_correct_rare,rare_membership_score,65,0.1619762508492005,0.14410799307257768,0.1830575057945114
tabula_small_intestine,44,0.01,non_target,rare_membership_score,6288,0.0092697188025022,0.007860702102505578,0.010926482948104922
tabula_small_intestine,44,0.01,baseline_correct_rare,rare_membership_score,65,0.13181532663198944,0.1122989909147616,0.15156358422837185
tabula_small_intestine,44,0.05,non_target,rare_membership_score,6288,0.014646803987409755,0.012852271122919427,0.01670694875375295
tabula_small_intestine,44,0.05,baseline_correct_rare,rare_membership_score,65,0.16336277061407872,0.14371754504306528,0.1869460537440605
tabula_small_intestine,44,0.10,non_target,rare_membership_score,6288,0.009564184941315605,0.008375666899646306,0.011056680027805344
tabula_small_intestine,44,0.10,baseline_correct_rare,rare_membership_score,65,0.14691567182483872,0.1300063590092507,0.1666274226219739
tabula_small_intestine,44,all,non_target,rare_membership_score,6288,0.011841494284176881,0.010392395401648396,0.013489377987171355
tabula_small_intestine,44,all,baseline_correct_rare,rare_membership_score,65,0.14532353356335148,0.12722896336042733,0.17045857464207362
mouse_lung_tms_10x,42,0.01,non_target,rare_membership_score,1316,0.004020684616923712,0.0028306670031124914,0.013947989172514543
mouse_lung_tms_10x,42,0.01,unrescued_rare,rare_membership_score,44,0.0407025066140726,0.03371480143411179,0.04950454165974865
