dataset,seed,rare_train_size,contrast,left_group,right_group,metric,n_left,n_right,median_left,median_right,raw_median_difference,raw_cliffs_delta,hypothesis_direction,oriented_median_difference,oriented_cliffs_delta
immune_dc,42,0.05,H3a_true_rescued_vs_non_target,true_rescued_rare,non_target,scANVI_rare_probability,23,6004,0.07931366,6.0162382000000006e-09,0.07931365398376179,0.9970744141586769,,,
immune_dc,42,0.05,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,rare_membership_score,23,1893,0.2792456253569517,0.07062516394337665,0.20862046141357504,1.0,1.0,0.20862046141357504,1.0
immune_dc,42,0.05,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,rare_rank,23,1893,1.0,6.0,-5.0,-1.0,-1.0,5.0,1.0
immune_dc,42,0.05,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,rare_standardized_distance,23,1893,1.3118563145270232,2.403769582430207,-1.091913267903184,-0.9960495188222054,-1.0,1.091913267903184,0.9960495188222054
immune_dc,42,0.05,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,standardized_prototype_margin,23,1893,0.10877421560714762,-1.4519986866547008,1.5607729022618484,1.0,1.0,1.5607729022618484,1.0
immune_dc,42,0.05,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,rare_prototype_distance,23,1893,3.375192285626247,6.184506993028872,-2.8093147074026255,-0.9960495188222054,-1.0,2.8093147074026255,0.9960495188222054
immune_dc,42,0.05,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,nearest_nonrare_distance,23,1893,4.419256183459451,2.7852723715291408,1.6339838119303103,0.9006867406233492,1.0,1.6339838119303103,0.9006867406233492
immune_dc,42,0.05,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,prototype_margin,23,1893,1.2385841065706602,-3.4013650448181223,4.639949151388782,1.0,1.0,4.639949151388782,1.0
immune_dc,42,0.05,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,scANVI_rare_probability,23,1893,0.07931366,8.76631e-07,0.079312783369,0.9945336365097959,,,
immune_dc,42,0.10,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,rare_membership_score,103,12,0.36844039521827254,0.23392076902061482,0.13451962619765773,0.9271844660194175,1.0,0.13451962619765773,0.9271844660194175
immune_dc,42,0.10,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,rare_rank,103,12,1.0,1.0,0.0,0.0,-1.0,-0.0,-0.0
immune_dc,42,0.10,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,rare_standardized_distance,103,12,1.0479490826521853,1.405944045779877,-0.35799496312769175,-0.7686084142394822,-1.0,0.35799496312769175,0.7686084142394822
immune_dc,42,0.10,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,standardized_prototype_margin,103,12,0.7423740826902137,-0.170283599221695,0.9126576819119087,0.970873786407767,1.0,0.9126576819119087,0.970873786407767
immune_dc,42,0.10,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,rare_prototype_distance,103,12,2.66877209113789,3.5804642546017336,-0.9116921634638437,-0.7686084142394822,-1.0,0.9116921634638437,0.7686084142394822
immune_dc,42,0.10,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,nearest_nonrare_distance,103,12,5.721816963598769,4.425848338760946,1.2959686248378235,0.9514563106796117,1.0,1.2959686248378235,0.9514563106796117
immune_dc,42,0.10,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,prototype_margin,103,12,3.102578900709554,0.5657912597175585,2.5367876409919954,0.9822006472491909,1.0,2.5367876409919954,0.9822006472491909
immune_dc,42,0.10,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,scANVI_rare_probability,103,12,0.99998605,0.037752657999999994,0.9622333919999999,1.0,,,
immune_dc,42,0.10,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,rare_membership_score,12,15,0.23392076902061482,0.16073056400746188,0.07319020501315293,0.9777777777777779,1.0,0.07319020501315293,0.9777777777777779
immune_dc,42,0.10,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,rare_rank,12,15,1.0,2.0,-1.0,-1.0,-1.0,1.0,1.0
immune_dc,42,0.10,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,rare_standardized_distance,12,15,1.405944045779877,1.8373215417857431,-0.43137749600586606,-0.9333333333333333,-1.0,0.43137749600586606,0.9333333333333333
immune_dc,42,0.10,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,standardized_prototype_margin,12,15,-0.170283599221695,-0.6793551146213557,0.5090715153996607,1.0,1.0,0.5090715153996607,1.0
immune_dc,42,0.10,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,rare_prototype_distance,12,15,3.5804642546017336,4.679036924918677,-1.0985726703169432,-0.9333333333333333,-1.0,1.0985726703169432,0.9333333333333333
