dataset,seed,rare_train_size,separability,repeat,decision_seed,original_pass,adaptive_pass,adaptive_reason,actual_folds,active_folds,val_missed,oof_delta_f1,oof_delta_f1_lcb,oof_ffr_wilson_upper,oof_false_rescues
pancreas_baron,43,0.01,1.1244837226660471,15,1064603649,True,True,oof_audit_passed,5,4,54,0.4330363080196835,0.3259667725608619,0.008265057188130219,4
pancreas_baron,43,0.01,1.1244837226660471,16,2846066012,True,True,oof_audit_passed,5,4,54,0.5126839167935059,0.40075187969924814,0.0070891437534947145,3
pancreas_baron,43,0.01,1.1244837226660471,17,63559405,True,True,oof_audit_passed,5,4,54,0.4330363080196835,0.3178487132780405,0.008265057188130219,4
pancreas_baron,43,0.01,1.1244837226660471,18,2973720317,True,True,oof_audit_passed,5,5,54,0.549884834525397,0.43815518816309706,0.008265057188130219,4
pancreas_baron,43,0.01,1.1244837226660471,19,325542360,True,True,oof_audit_passed,5,5,54,0.5604422013938957,0.44604073884571255,0.008265057188130219,4
pancreas_baron,43,0.05,1.1244837226660471,0,2471990757,True,True,oof_audit_passed,5,4,54,0.4772341813437704,0.3705222967064996,0.0070891437534947145,3
pancreas_baron,43,0.05,1.1244837226660471,1,3785651955,True,True,oof_audit_passed,5,4,54,0.4457323498419389,0.3356774496015002,0.008265057188130219,4
pancreas_baron,43,0.05,1.1244837226660471,2,4132223944,True,True,oof_audit_passed,5,4,54,0.4772341813437704,0.3659727891156463,0.0070891437534947145,3
pancreas_baron,43,0.05,1.1244837226660471,3,2787338574,True,True,oof_audit_passed,5,5,54,0.5675839495696449,0.4546153846153846,0.0070891437534947145,3
pancreas_baron,43,0.05,1.1244837226660471,4,1350164833,True,True,oof_audit_passed,5,4,54,0.482396620151069,0.3685104522099985,0.008265057188130219,4
pancreas_baron,43,0.05,1.1244837226660471,5,3276598547,True,True,oof_audit_passed,5,3,54,0.3796872837968729,0.267908792503045,0.008265057188130219,4
pancreas_baron,43,0.05,1.1244837226660471,6,958474469,True,True,oof_audit_passed,5,5,54,0.549884834525397,0.4397045131255658,0.008265057188130219,4
pancreas_baron,43,0.05,1.1244837226660471,7,424275990,True,True,oof_audit_passed,5,4,54,0.47040578960971824,0.35781535286179245,0.008265057188130219,4
pancreas_baron,43,0.05,1.1244837226660471,8,2689171382,True,True,oof_audit_passed,5,4,54,0.482396620151069,0.3718229732987812,0.008265057188130219,4
pancreas_baron,43,0.05,1.1244837226660471,9,3772750095,True,True,oof_audit_passed,5,4,54,0.482396620151069,0.37579722458227127,0.008265057188130219,4
pancreas_baron,43,0.05,1.1244837226660471,10,3755074752,True,True,oof_audit_passed,5,5,54,0.5604422013938957,0.4444699286442406,0.008265057188130219,4
pancreas_baron,43,0.05,1.1244837226660471,11,720472494,True,True,oof_audit_passed,5,4,54,0.47040578960971824,0.3586936587254162,0.008265057188130219,4
pancreas_baron,43,0.05,1.1244837226660471,12,1829084436,True,True,oof_audit_passed,5,3,54,0.3656695554934303,0.2613511520416221,0.008265057188130219,4
pancreas_baron,43,0.05,1.1244837226660471,13,240026890,True,True,oof_audit_passed,5,3,54,0.34289834174477285,0.2351852733385834,0.0070891437534947145,3
pancreas_baron,43,0.05,1.1244837226660471,14,2941955837,True,True,oof_audit_passed,5,5,54,0.549884834525397,0.43424473688365556,0.008265057188130219,4
pancreas_baron,43,0.05,1.1244837226660471,15,913979583,True,True,oof_audit_passed,5,4,54,0.4772341813437704,0.3683609507138919,0.0070891437534947145,3
pancreas_baron,43,0.05,1.1244837226660471,16,2546794645,True,True,oof_audit_passed,5,5,54,0.5569960861056752,0.4457160026201122,0.0070891437534947145,3
pancreas_baron,43,0.05,1.1244837226660471,17,3894588261,True,True,oof_audit_passed,5,4,54,0.5126839167935059,0.4046476946476947,0.0070891437534947145,3
pancreas_baron,43,0.05,1.1244837226660471,18,2702904132,True,True,oof_audit_passed,5,5,54,0.549884834525397,0.43992327005522014,0.008265057188130219,4
pancreas_baron,43,0.05,1.1244837226660471,19,3870297776,True,True,oof_audit_passed,5,4,54,0.4941653982749873,0.3839349470734886,0.008265057188130219,4
pancreas_baron,43,all,1.1218329740371191,0,3767315202,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,43,all,1.1218329740371191,1,2434912300,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,43,all,1.1218329740371191,2,2855264738,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,43,all,1.1218329740371191,3,649676441,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,43,all,1.1218329740371191,4,1009945357,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,43,all,1.1218329740371191,5,106867858,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,43,all,1.1218329740371191,6,4145118637,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,43,all,1.1218329740371191,7,3110910183,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,43,all,1.1218329740371191,8,761939029,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,43,all,1.1218329740371191,9,3438974272,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,43,all,1.1218329740371191,10,1495944070,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,43,all,1.1218329740371191,11,2600176900,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,43,all,1.1218329740371191,12,111248337,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,43,all,1.1218329740371191,13,365807506,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,43,all,1.1218329740371191,14,1160268024,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,43,all,1.1218329740371191,15,3765426403,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,43,all,1.1218329740371191,16,1194124319,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,43,all,1.1218329740371191,17,768034406,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,43,all,1.1218329740371191,18,2725315012,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,43,all,1.1218329740371191,19,2385217910,False,False,val_missed=2 < 3,0,0,2,,,,0
pancreas_baron,44,0.01,1.221958717366858,0,1998315597,False,False,"failed:active_folds,gain",5,1,28,0.003209666761068597,-0.03574758025555164,0.00940459827509653,5
pancreas_baron,44,0.01,1.221958717366858,1,587830327,False,False,"failed:active_folds,gain",5,1,28,-0.0207961972667855,-0.04155844155844157,0.0070891437534947145,3
pancreas_baron,44,0.01,1.221958717366858,2,3168815196,False,False,"failed:active_folds,gain",5,1,28,0.01673881673881672,-0.021419277349614574,0.0070891437534947145,3
pancreas_baron,44,0.01,1.221958717366858,3,2045660678,False,False,failed:active_folds,5,2,28,0.07169035487619557,0.015215932663111154,0.00940459827509653,5
pancreas_baron,44,0.01,1.221958717366858,4,3122298308,False,False,"failed:active_folds,gain",5,2,28,0.021901255546115328,-0.021419277349614574,0.008265057188130219,4
pancreas_baron,44,0.01,1.221958717366858,5,3649087631,False,False,"failed:active_folds,gain",5,1,28,0.03578643578643581,-0.003714474695591701,0.005861921247071321,2
pancreas_baron,44,0.01,1.221958717366858,6,693075694,False,False,failed:active_folds,5,1,28,0.05928443311620879,0.010000000000000009,0.005861921247071321,2
pancreas_baron,44,0.01,1.221958717366858,7,152323331,False,False,"failed:active_folds,gain",5,1,28,-0.008041580857114816,-0.034968804780125574,0.0070891437534947145,3
