dataset,dataset_label,rare_class,rare_train_size,rts_label,seed,method,rare_f1,rare_recall,rare_precision,overall_accuracy
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,42,scRareRefine,0.9883720930232558,0.9883720930232558,0.9883720930232558,0.9854988399071926
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,42,baseline,0.0454545454545454,0.0232558139534883,1.0,0.933294663573086
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,42,knn_k15,0.0,0.0,0.0,0.9002320185614849
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,42,lr,0.2083333333333333,0.1162790697674418,1.0,0.9350348027842228
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,42,scbalance,0.3137254901960784,0.1860465116279069,1.0,0.917633410672854
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,42,scRareRefine,0.2448979591836734,0.1395348837209302,1.0,0.9390951276102087
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,42,baseline,0.9882352941176472,0.9767441860465116,1.0,0.9837587006960556
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,42,knn_k15,0.9700598802395208,0.9418604651162792,1.0,0.9477958236658932
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,42,lr,0.2448979591836734,0.1395348837209302,1.0,0.9361948955916474
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,42,scbalance,0.1098901098901098,0.0581395348837209,1.0,0.8996519721577726
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,42,scRareRefine,0.9941520467836256,0.9883720930232558,1.0,0.984338747099768
pancreas_gamma,Pancreas-γ,gamma,all,all,42,baseline,0.9828571428571428,1.0,0.9662921348314608,0.9820185614849188
pancreas_gamma,Pancreas-γ,gamma,all,all,42,knn_k15,0.9942196531791908,1.0,0.9885057471264368,0.9518561484918794
pancreas_gamma,Pancreas-γ,gamma,all,all,42,lr,0.9772727272727272,1.0,0.9555555555555556,0.9756380510440836
pancreas_gamma,Pancreas-γ,gamma,all,all,42,scbalance,0.9717514124293786,1.0,0.945054945054945,0.980278422273782
pancreas_gamma,Pancreas-γ,gamma,all,all,42,scRareRefine,0.9828571428571428,1.0,0.9662921348314608,0.9820185614849188
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,43,baseline,0.9824561403508772,0.9767441860465116,0.9882352941176472,0.9721577726218096
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,43,knn_k15,0.9822485207100592,0.9651162790697676,1.0,0.9367749419953596
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,43,lr,0.2268041237113402,0.127906976744186,1.0,0.9350348027842228
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,43,scbalance,0.0,0.0,0.0,0.9321345707656612
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,43,scRareRefine,0.9824561403508772,0.9767441860465116,0.9882352941176472,0.9721577726218096
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,43,baseline,0.0,0.0,0.0,0.9089327146171694
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,43,knn_k15,0.0,0.0,0.0,0.8863109048723898
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,43,lr,0.4778761061946903,0.313953488372093,1.0,0.9448955916473318
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,43,scbalance,0.0229885057471264,0.0116279069767441,1.0,0.9240139211136892
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,43,scRareRefine,0.9770114942528736,0.9883720930232558,0.9659090909090908,0.95707656612529
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,43,baseline,0.9882352941176472,0.9767441860465116,1.0,0.976798143851508
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,43,knn_k15,0.8055555555555556,0.6744186046511628,1.0,0.9193735498839908
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,43,lr,0.1098901098901098,0.0581395348837209,1.0,0.931554524361949
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,43,scbalance,0.0888888888888888,0.0465116279069767,1.0,0.9193735498839908
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,43,scRareRefine,0.9882352941176472,0.9767441860465116,1.0,0.976798143851508
pancreas_gamma,Pancreas-γ,gamma,all,all,43,baseline,0.9942196531791908,1.0,0.9885057471264368,0.962877030162413
pancreas_gamma,Pancreas-γ,gamma,all,all,43,knn_k15,0.9942196531791908,1.0,0.9885057471264368,0.9379350348027842
pancreas_gamma,Pancreas-γ,gamma,all,all,43,lr,0.9772727272727272,1.0,0.9555555555555556,0.9756380510440836
pancreas_gamma,Pancreas-γ,gamma,all,all,43,scbalance,0.9717514124293786,1.0,0.945054945054945,0.9721577726218096
pancreas_gamma,Pancreas-γ,gamma,all,all,43,scRareRefine,0.9942196531791908,1.0,0.9885057471264368,0.962877030162413
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,44,baseline,0.9942196531791908,1.0,0.9885057471264368,0.9796983758700696
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,44,knn_k15,0.9761904761904762,0.9534883720930232,1.0,0.9448955916473318
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,44,lr,0.4363636363636363,0.2790697674418604,1.0,0.9425754060324826
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,44,scbalance,0.2268041237113402,0.127906976744186,1.0,0.9234338747099768
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,44,scRareRefine,0.9828571428571428,1.0,0.9662921348314608,0.978538283062645
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,44,baseline,0.1505376344086021,0.0813953488372093,1.0,0.9292343387470998
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,44,knn_k15,0.0,0.0,0.0,0.8950116009280742
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,44,lr,0.1894736842105263,0.1046511627906976,1.0,0.933874709976798
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,44,scbalance,0.0229885057471264,0.0116279069767441,1.0,0.9211136890951276
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,44,scRareRefine,0.9447852760736196,0.8953488372093024,1.0,0.9698375870069604
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,44,baseline,0.9942196531791908,1.0,0.9885057471264368,0.9715777262180976
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,44,knn_k15,0.925,0.8604651162790697,1.0,0.935614849187935
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,44,lr,0.4074074074074074,0.2558139534883721,1.0,0.941415313225058
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,44,scbalance,0.5299145299145299,0.3604651162790697,1.0,0.9379350348027842
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,44,scRareRefine,0.9885057471264368,1.0,0.9772727272727272,0.9709976798143852
pancreas_gamma,Pancreas-γ,gamma,all,all,44,baseline,0.9885057471264368,1.0,0.9772727272727272,0.9576566125290024
pancreas_gamma,Pancreas-γ,gamma,all,all,44,knn_k15,0.9885057471264368,1.0,0.9772727272727272,0.9402552204176334
pancreas_gamma,Pancreas-γ,gamma,all,all,44,lr,0.9772727272727272,1.0,0.9555555555555556,0.9756380510440836
pancreas_gamma,Pancreas-γ,gamma,all,all,44,scbalance,0.9828571428571428,1.0,0.9662921348314608,0.976218097447796
pancreas_gamma,Pancreas-γ,gamma,all,all,44,scRareRefine,0.9885057471264368,1.0,0.9772727272727272,0.9576566125290024
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.1,10%,42,baseline,0.4210526315789473,0.2666666666666666,1.0,0.9213651438964372
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.1,10%,42,knn_k15,0.3684210526315789,0.2333333333333333,0.875,0.9183695303305872
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.1,10%,42,lr,0.064516129032258,0.0333333333333333,1.0,0.9073499518562106
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.1,10%,42,scbalance,0.125,0.0666666666666666,1.0,0.909275703434257
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.1,10%,42,scRareRefine,0.8709677419354839,0.9,0.84375,0.9230769230769232
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.01,1%,42,baseline,0.064516129032258,0.0333333333333333,1.0,0.9206162405049748
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.01,1%,42,knn_k15,0.0,0.0,0.0,0.917085695945223
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.01,1%,42,lr,0.125,0.0666666666666666,1.0,0.9075639242537712
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.01,1%,42,scbalance,0.2285714285714285,0.1333333333333333,0.8,0.9037124210976784
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.01,1%,42,scRareRefine,0.8571428571428571,0.9,0.8181818181818182,0.9229699368781428
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.05,5%,42,baseline,0.064516129032258,0.0333333333333333,1.0,0.9206162405049748
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.05,5%,42,knn_k15,0.0,0.0,0.0,0.917085695945223
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.05,5%,42,lr,0.125,0.0666666666666666,1.0,0.9075639242537712
