dataset,seed,rts,rare_class,k,sep,variant,abstain,abstain_reason,chosen_rank,rare_f1,rare_recall,rare_precision,rare_fp_rate,rescue_ffr,n_rescued,n_false_rescue
tabula_lung_endo,43,0.01,endothelial cell of lymphatic vessel,3,1.9886,kNN+scRareRefine,False,,1,0.9844,0.9692,1.0,0.0,0.0,11,0
tabula_lung_endo,43,0.05,endothelial cell of lymphatic vessel,3,1.6913,kNN,False,,0,0.9344,0.8769,1.0,0.0,0.0,0,0
tabula_lung_endo,43,0.05,endothelial cell of lymphatic vessel,3,1.6913,kNN+scRareRefine,True,val_missed=1 < MIN_VAL_MISSED=3,0,0.9344,0.8769,1.0,0.0,0.0,0,0
tabula_lung_endo,43,0.10,endothelial cell of lymphatic vessel,3,1.7338,kNN,False,,0,0.944,0.9077,0.9833,0.000583,0.0,0,0
tabula_lung_endo,43,0.10,endothelial cell of lymphatic vessel,3,1.7338,kNN+scRareRefine,False,,1,0.9848,1.0,0.9701,0.001166,0.000583,7,1
tabula_lung_endo,43,all,endothelial cell of lymphatic vessel,3,1.4801,kNN,False,,0,0.9846,0.9846,0.9846,0.000583,0.0,0,0
tabula_lung_endo,43,all,endothelial cell of lymphatic vessel,3,1.4801,kNN+scRareRefine,True,val baseline 零漏判稀有,0,0.9846,0.9846,0.9846,0.000583,0.0,0,0
tabula_lung_endo,44,0.01,endothelial cell of lymphatic vessel,3,2.0898,kNN,False,,0,0.8793,0.7846,1.0,0.0,0.0,0,0
tabula_lung_endo,44,0.01,endothelial cell of lymphatic vessel,3,2.0898,kNN+scRareRefine,False,,1,0.9767,0.9692,0.9844,0.000583,0.000583,13,1
tabula_lung_endo,44,0.05,endothelial cell of lymphatic vessel,3,1.797,kNN,False,,0,0.8983,0.8154,1.0,0.0,0.0,0,0
tabula_lung_endo,44,0.05,endothelial cell of lymphatic vessel,3,1.797,kNN+scRareRefine,False,,1,0.9924,1.0,0.9848,0.000583,0.000583,13,1
tabula_lung_endo,44,0.10,endothelial cell of lymphatic vessel,3,1.6894,kNN,False,,0,0.9516,0.9077,1.0,0.0,0.0,0,0
tabula_lung_endo,44,0.10,endothelial cell of lymphatic vessel,3,1.6894,kNN+scRareRefine,True,val_missed=2 < MIN_VAL_MISSED=3,0,0.9516,0.9077,1.0,0.0,0.0,0,0
tabula_lung_endo,44,all,endothelial cell of lymphatic vessel,3,1.6533,kNN,False,,0,0.9764,0.9538,1.0,0.0,0.0,0,0
tabula_lung_endo,44,all,endothelial cell of lymphatic vessel,3,1.6533,kNN+scRareRefine,True,val baseline 零漏判稀有,0,0.9764,0.9538,1.0,0.0,0.0,0,0
tabula_sapiens_stomach,42,0.01,mast cell,3,1.7794,kNN,False,,0,0.2222,0.125,1.0,0.0,0.0,0,0
tabula_sapiens_stomach,42,0.01,mast cell,3,1.7794,kNN+scRareRefine,False,,2,0.7451,0.5938,1.0,0.0,0.0,15,0
tabula_sapiens_stomach,42,0.05,mast cell,3,1.7794,kNN,False,,0,0.2222,0.125,1.0,0.0,0.0,0,0
tabula_sapiens_stomach,42,0.05,mast cell,3,1.7794,kNN+scRareRefine,False,,2,0.7451,0.5938,1.0,0.0,0.0,15,0
tabula_sapiens_stomach,42,0.10,mast cell,3,1.7794,kNN,False,,0,0.2222,0.125,1.0,0.0,0.0,0,0
tabula_sapiens_stomach,42,0.10,mast cell,3,1.7794,kNN+scRareRefine,False,,2,0.7451,0.5938,1.0,0.0,0.0,15,0
tabula_sapiens_stomach,42,all,mast cell,10,1.8181,kNN,False,,0,0.4762,0.3125,1.0,0.0,0.0,0,0
