dataset,rare_class,actual_training_labeled_rare_count,variant,variant_group,seed,n_identity_runs,rare_f1,rare_recall,rescue_precision,incremental_fpr,abstain,alpha_violation
pancreas_baron,gamma,5,rank_1,rank,42,1,0.6567164179104478,0.5116279069767442,0.8918918918918919,0.002442002442002442,0.0,0.0
pancreas_baron,gamma,5,rank_2,rank,42,1,0.7784431137724551,0.7558139534883721,0.7714285714285715,0.009768009768009768,0.0,0.0
pancreas_baron,gamma,5,rank_3,rank,42,1,0.6329113924050633,0.872093023255814,0.45714285714285713,0.0463980463980464,0.0,1.0
pancreas_baron,gamma,5,adaptive_rank,rank,42,1,0.7784431137724551,0.7558139534883721,0.7714285714285715,0.009768009768009768,0.0,0.0
pancreas_baron,gamma,10,baseline,component,42,1,0.7916666666666666,0.6627906976744186,,0.0,0.0,0.0
pancreas_baron,gamma,10,minus_separability_gate,component,42,1,0.8157894736842105,0.7209302325581395,0.625,0.0018315018315018315,0.0,0.0
pancreas_baron,gamma,10,minus_necessity_gate,component,42,1,0.8157894736842105,0.7209302325581395,0.625,0.0018315018315018315,0.0,0.0
pancreas_baron,gamma,10,fixed_rank_1,component,42,1,0.8157894736842105,0.7209302325581395,0.625,0.0018315018315018315,0.0,0.0
pancreas_baron,gamma,10,minus_conformal_tau,component,42,1,0.8157894736842105,0.7209302325581395,0.625,0.0018315018315018315,0.0,0.0
pancreas_baron,gamma,10,full_method,component,42,1,0.8157894736842105,0.7209302325581395,0.625,0.0018315018315018315,0.0,0.0
pancreas_baron,gamma,10,rank_1,rank,42,1,0.8157894736842105,0.7209302325581395,0.625,0.0018315018315018315,0.0,0.0
pancreas_baron,gamma,10,rank_2,rank,42,1,0.8402366863905325,0.8255813953488372,0.56,0.006715506715506716,0.0,0.0
pancreas_baron,gamma,10,rank_3,rank,42,1,0.8210526315789474,0.9069767441860465,0.45652173913043476,0.015262515262515262,0.0,1.0
pancreas_baron,gamma,10,adaptive_rank,rank,42,1,0.8157894736842105,0.7209302325581395,0.625,0.0018315018315018315,0.0,0.0
pancreas_baron,gamma,106,baseline,component,42,1,0.9142857142857143,0.9302325581395349,,0.0,0.0,0.0
pancreas_baron,gamma,106,minus_separability_gate,component,42,1,0.9010989010989011,0.9534883720930233,0.2857142857142857,0.0030525030525030525,0.0,0.0
pancreas_baron,gamma,106,minus_necessity_gate,component,42,1,0.9142857142857143,0.9302325581395349,,0.0,1.0,0.0
pancreas_baron,gamma,106,fixed_rank_1,component,42,1,0.9142857142857143,0.9302325581395349,,0.0,1.0,0.0
pancreas_baron,gamma,106,minus_conformal_tau,component,42,1,0.9142857142857143,0.9302325581395349,,0.0,1.0,0.0
pancreas_baron,gamma,106,full_method,component,42,1,0.9142857142857143,0.9302325581395349,,0.0,1.0,0.0
pancreas_baron,gamma,106,rank_1,rank,42,1,0.9142857142857143,0.9302325581395349,,0.0,1.0,0.0
pancreas_baron,gamma,106,rank_2,rank,42,1,0.9142857142857143,0.9302325581395349,,0.0,1.0,0.0
pancreas_baron,gamma,106,rank_3,rank,42,1,0.9142857142857143,0.9302325581395349,,0.0,1.0,0.0
pancreas_baron,gamma,106,adaptive_rank,rank,42,1,0.9142857142857143,0.9302325581395349,,0.0,1.0,0.0
pancreas_baron,gamma,5,baseline,component,43,1,0.24489795918367346,0.13953488372093023,,0.0,0.0,0.0
