dataset,config,seed,rare_train_size,rare_class,split_mode,run_dir,variant,separability,status,baseline_rare_f1,rare_f1,rare_recall,rare_precision,delta_rare_f1,true_rescues,false_rescues,all_rescues,incremental_fpr,alpha_violation,abstain,reason,chosen_rank,n_candidate,n_rescued,gate_mode,adaptive_pass,adaptive_reason,requested_folds,actual_folds,active_folds,val_missed,oof_baseline_f1,oof_refined_f1,oof_delta_f1,oof_delta_f1_lcb,oof_delta_f1_median,oof_delta_f1_ucb,oof_false_rescues,oof_incremental_fpr,oof_ffr_wilson_upper,fold_chosen_ranks,fold_reasons
pancreas_baron,configs/pancreas_baron.yaml,42,0.01,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rare1pct,adaptive_sep_gate,1.5213334094991247,success,0.2268041237113402,0.7784431137724551,0.7558139534883721,0.8024691358024691,0.5516389900611149,54,16,70,0.009768009768009768,False,False,,2,78,70,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,58.0,,,,,,,0.0,,,[],[]
pancreas_baron,configs/pancreas_baron.yaml,42,0.05,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rare5pct,fixed_s1.3,1.5213334094991247,success,0.2268041237113402,0.7784431137724551,0.7558139534883721,0.8024691358024691,0.5516389900611149,54,16,70,0.009768009768009768,False,False,,2,78,70,,,,,,,,,,,,,,,,,,
pancreas_baron,configs/pancreas_baron.yaml,42,0.05,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rare5pct,no_sep_gate,1.5213334094991247,success,0.2268041237113402,0.7784431137724551,0.7558139534883721,0.8024691358024691,0.5516389900611149,54,16,70,0.009768009768009768,False,False,,2,78,70,,,,,,,,,,,,,,,,,,
pancreas_baron,configs/pancreas_baron.yaml,42,0.05,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rare5pct,adaptive_sep_gate,1.5213334094991247,success,0.2268041237113402,0.7784431137724551,0.7558139534883721,0.8024691358024691,0.5516389900611149,54,16,70,0.009768009768009768,False,False,,2,78,70,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,58.0,,,,,,,0.0,,,[],[]
pancreas_baron,configs/pancreas_baron.yaml,42,0.10,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rare10pct,fixed_s1.3,1.4421529708491374,success,0.7916666666666666,0.8157894736842105,0.7209302325581395,0.9393939393939394,0.02412280701754388,5,3,8,0.0018315018315018315,False,False,,1,8,8,,,,,,,,,,,,,,,,,,
pancreas_baron,configs/pancreas_baron.yaml,42,0.10,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rare10pct,no_sep_gate,1.4421529708491374,success,0.7916666666666666,0.8157894736842105,0.7209302325581395,0.9393939393939394,0.02412280701754388,5,3,8,0.0018315018315018315,False,False,,1,8,8,,,,,,,,,,,,,,,,,,
pancreas_baron,configs/pancreas_baron.yaml,42,0.10,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rare10pct,adaptive_sep_gate,1.4421529708491374,success,0.7916666666666666,0.8157894736842105,0.7209302325581395,0.9393939393939394,0.02412280701754388,5,3,8,0.0018315018315018315,False,False,,1,8,8,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,29.0,,,,,,,0.0,,,[],[]
pancreas_baron,configs/pancreas_baron.yaml,42,all,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rareall,fixed_s1.3,1.159680349882819,success,0.9142857142857143,0.9142857142857143,0.9302325581395349,0.898876404494382,0.0,0,0,0,0.0,False,True,sep<1.3,0,0,0,,,,,,,,,,,,,,,,,,
pancreas_baron,configs/pancreas_baron.yaml,42,all,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rareall,no_sep_gate,1.159680349882819,success,0.9142857142857143,0.9010989010989011,0.9534883720930233,0.8541666666666666,-0.01318681318681314,2,5,7,0.0030525030525030525,False,False,,1,16,7,,,,,,,,,,,,,,,,,,
pancreas_baron,configs/pancreas_baron.yaml,42,all,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rareall,adaptive_sep_gate,1.159680349882819,success,0.9142857142857143,0.9142857142857143,0.9302325581395349,0.898876404494382,0.0,0,0,0,0.0,False,True,adaptive_audit_failed,0,0,0,adaptive_audit,False,"failed:active_folds,gain",5.0,5.0,1.0,6.0,0.8976377952755905,0.8837209302325582,-0.013916865043032356,-0.03275284344154713,-0.013728622995443529,0.0,2.0,0.0016129032258064516,0.005861921247071321,"[0, 1, 0, 0, 0]","[""necessity"", """", ""no_feasible_rank"", ""no_feasible_rank"", ""no_feasible_rank""]"
