dataset,rare_train_size,method,n_ok,f1_mean,f1_std,rec_mean,rec_std,fp_rate_max
pancreas_integrated,0.05,scBalance,3,0.9929,0.01,1.0,0.0,0.000588
pancreas_integrated,0.05,ProtoCloud,3,0.9781,0.0178,0.971,0.0205,0.000588
pancreas_integrated,0.05,HiCat,3,0.5334,0.3825,0.4493,0.3298,0.0
pancreas_integrated,0.05,scCAD,3,0.694,0.0512,1.0,0.0,0.016461
pancreas_integrated,0.05,TOSICA,3,0.9276,0.0524,0.8696,0.0939,0.0
pancreas_integrated,0.05,scRareRefine,3,1.0,0.0,1.0,0.0,0.0
pancreas_integrated,0.10,scANVI,3,0.9929,0.01,1.0,0.0,0.000588
pancreas_integrated,0.10,kNN,3,0.9926,0.0105,0.9855,0.0205,0.0
pancreas_integrated,0.10,CellTypist,3,0.9583,0.0,1.0,0.0,0.001176
pancreas_integrated,0.10,scBalance,3,0.9926,0.0105,0.9855,0.0205,0.0
pancreas_integrated,0.10,ProtoCloud,3,0.9713,0.0264,0.971,0.0205,0.001176
pancreas_integrated,0.10,HiCat,3,0.9683,0.0449,0.942,0.082,0.0
pancreas_integrated,0.10,scCAD,3,0.6902,0.0487,1.0,0.0,0.016461
pancreas_integrated,0.10,TOSICA,3,0.9509,0.0104,0.9855,0.0205,0.001176
pancreas_integrated,0.10,scRareRefine,3,0.9929,0.01,1.0,0.0,0.000588
pancreas_integrated,all,scANVI,3,0.9651,0.0096,1.0,0.0,0.001176
pancreas_integrated,all,kNN,3,0.9654,0.0188,1.0,0.0,0.001764
pancreas_integrated,all,CellTypist,3,1.0,0.0,1.0,0.0,0.0
pancreas_integrated,all,scBalance,3,1.0,0.0,1.0,0.0,0.0
pancreas_integrated,all,ProtoCloud,3,0.9529,0.0342,1.0,0.0,0.002352
pancreas_integrated,all,HiCat,3,1.0,0.0,1.0,0.0,0.0
pancreas_integrated,all,scCAD,3,0.6773,0.0511,1.0,0.0,0.017637
pancreas_integrated,all,TOSICA,3,0.902,0.0,1.0,0.0,0.002939
pancreas_integrated,all,scRareRefine,3,0.9651,0.0096,1.0,0.0,0.001176
mouse_lung_tms_10x,0.01,scANVI,3,0.0,0.0,0.0,0.0,0.0
mouse_lung_tms_10x,0.01,kNN,3,0.0,0.0,0.0,0.0,0.0
mouse_lung_tms_10x,0.01,CellTypist,3,0.0,0.0,0.0,0.0,0.0
mouse_lung_tms_10x,0.01,scBalance,3,0.0257,0.0181,0.0131,0.0092,0.0
mouse_lung_tms_10x,0.01,ProtoCloud,3,0.0,0.0,0.0,0.0,0.0
mouse_lung_tms_10x,0.01,HiCat,3,0.0,0.0,0.0,0.0,0.0
mouse_lung_tms_10x,0.01,scCAD,3,0.0,0.0,0.0,0.0,0.058511
mouse_lung_tms_10x,0.01,TOSICA,3,0.0252,0.0356,0.0131,0.0185,0.00152
mouse_lung_tms_10x,0.01,scRareRefine,3,0.1969,0.146,0.1177,0.0891,0.00076
mouse_lung_tms_10x,0.05,scANVI,3,0.0128,0.0181,0.0065,0.0092,0.0
mouse_lung_tms_10x,0.05,kNN,3,0.083,0.0915,0.0457,0.0514,0.0
mouse_lung_tms_10x,0.05,CellTypist,3,0.0,0.0,0.0,0.0,0.0
mouse_lung_tms_10x,0.05,scBalance,3,0.1403,0.0972,0.0784,0.0577,0.0
mouse_lung_tms_10x,0.05,ProtoCloud,3,0.0252,0.0356,0.0131,0.0185,0.0
mouse_lung_tms_10x,0.05,HiCat,3,0.0,0.0,0.0,0.0,0.0
