region,analysis,baseline,dataset,dataset_effect,n_within_dataset_pairs
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,kNN,pancreas_baron,0.19956666666666664,6
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,kNN,pancreas_integrated,0.015155555555555552,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,kNN,tabula_lung_endo,0.053188888888888904,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,kNN,tabula_sapiens_stomach,0.43453333333333327,3
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,kNN,tabula_small_intestine,0.0027444444444444877,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,CellTypist,immune_dc,0.40247777777777777,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,CellTypist,mouse_lung_tms_10x,0.17834444444444447,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,CellTypist,mouse_pancreas_tms_10x,0.3219666666666667,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,CellTypist,pancreas_baron,0.40478888888888886,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,CellTypist,pancreas_integrated,0.025833333333333312,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,CellTypist,tabula_lung_endo,0.40311111111111114,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,CellTypist,tabula_sapiens_stomach,0.22866666666666666,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,CellTypist,tabula_small_intestine,0.029622222222222255,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,CellTypist,immune_dc,0.40247777777777777,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,CellTypist,mouse_lung_tms_10x,0.17834444444444447,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,CellTypist,mouse_pancreas_tms_10x,0.3219666666666667,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,CellTypist,pancreas_baron,0.35728333333333334,6
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,CellTypist,pancreas_integrated,0.025833333333333312,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,CellTypist,tabula_lung_endo,0.40311111111111114,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,CellTypist,tabula_sapiens_stomach,0.22866666666666666,3
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,CellTypist,tabula_small_intestine,0.029622222222222255,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scBalance,immune_dc,0.46346666666666664,9
