dataset,seed,rare_train_size,lab_rare,rare_class,method,status,sep,best_k,rare_f1,rare_recall,rare_precision,macro_f1,rare_fp_rate,n_rescued,n_false_rescue,rescue_ffr
tabula_lung_endo,42,0.05,10,endothelial cell of lymphatic vessel,scBalance,ok,1.879,,0.6022,0.4308,1.0,0.7362,0.0,7,0,0.0
tabula_lung_endo,42,0.05,10,endothelial cell of lymphatic vessel,scRareRefine,ok,1.879,,0.963,1.0,0.9286,0.8028,0.002914,36,4,0.002331
tabula_lung_endo,42,0.10,20,endothelial cell of lymphatic vessel,scANVI,ok,1.6589,,0.9771,0.9846,0.9697,0.8224,0.001166,0,0,0.0
tabula_lung_endo,42,0.10,20,endothelial cell of lymphatic vessel,kNN,ok,1.6589,3.0,0.96,0.9231,1.0,0.807,0.0,0,0,0.0
tabula_lung_endo,42,0.10,20,endothelial cell of lymphatic vessel,CellTypist,ok,1.6589,,0.789,0.6615,0.9773,0.7727,0.000583,0,0,0.0
tabula_lung_endo,42,0.10,20,endothelial cell of lymphatic vessel,scBalance,ok,1.6589,,0.9076,0.8308,1.0,0.8013,0.0,0,0,0.0
tabula_lung_endo,42,0.10,20,endothelial cell of lymphatic vessel,scRareRefine,ok,1.6589,,0.9774,1.0,0.9559,0.8226,0.001748,2,1,0.000583
tabula_lung_endo,42,all,208,endothelial cell of lymphatic vessel,scANVI,ok,1.671,,0.9774,1.0,0.9559,0.8142,0.001748,0,0,0.0
tabula_lung_endo,42,all,208,endothelial cell of lymphatic vessel,kNN,ok,1.671,3.0,0.9771,0.9846,0.9697,0.8158,0.001166,0,0,0.0
tabula_lung_endo,42,all,208,endothelial cell of lymphatic vessel,CellTypist,ok,1.671,,0.9774,1.0,0.9559,0.826,0.001748,1,1,0.000583
tabula_lung_endo,42,all,208,endothelial cell of lymphatic vessel,scBalance,ok,1.671,,0.9612,0.9538,0.9688,0.8223,0.001166,0,0,0.0
tabula_lung_endo,42,all,208,endothelial cell of lymphatic vessel,scRareRefine,ok,1.671,,0.963,1.0,0.9286,0.8106,0.002914,2,2,0.001166
tabula_lung_endo,43,0.01,5,endothelial cell of lymphatic vessel,scANVI,ok,1.9886,,0.1944,0.1077,1.0,0.6221,0.0,0,0,0.0
tabula_lung_endo,43,0.01,5,endothelial cell of lymphatic vessel,kNN,ok,1.9886,3.0,0.8889,0.8,1.0,0.7973,0.0,45,0,0.0
tabula_lung_endo,43,0.01,5,endothelial cell of lymphatic vessel,CellTypist,ok,1.9886,,0.2667,0.1538,1.0,0.6315,0.0,7,0,0.0
tabula_lung_endo,43,0.01,5,endothelial cell of lymphatic vessel,scBalance,ok,1.9886,,0.617,0.4462,1.0,0.7237,0.0,23,0,0.0
tabula_lung_endo,43,0.01,5,endothelial cell of lymphatic vessel,scRareRefine,ok,1.9886,,0.9844,0.9692,1.0,0.8407,0.0,56,0,0.0
tabula_lung_endo,43,0.05,10,endothelial cell of lymphatic vessel,scANVI,ok,1.6913,,0.96,0.9231,1.0,0.8026,0.0,0,0,0.0
tabula_lung_endo,43,0.05,10,endothelial cell of lymphatic vessel,kNN,ok,1.6913,3.0,0.9344,0.8769,1.0,0.8131,0.0,3,0,0.0
tabula_lung_endo,43,0.05,10,endothelial cell of lymphatic vessel,CellTypist,ok,1.6913,,0.7736,0.6308,1.0,0.7682,0.0,0,0,0.0
tabula_lung_endo,43,0.05,10,endothelial cell of lymphatic vessel,scBalance,ok,1.6913,,0.8983,0.8154,1.0,0.8057,0.0,0,0,0.0
tabula_lung_endo,43,0.05,10,endothelial cell of lymphatic vessel,scRareRefine,ok,1.6913,,0.9774,1.0,0.9559,0.8079,0.001748,8,3,0.001748
tabula_lung_endo,43,0.10,20,endothelial cell of lymphatic vessel,scANVI,ok,1.7338,,0.9618,0.9692,0.9545,0.8299,0.001748,0,0,0.0
tabula_lung_endo,43,0.10,20,endothelial cell of lymphatic vessel,kNN,ok,1.7338,3.0,0.944,0.9077,0.9833,0.8064,0.000583,0,0,0.0
tabula_lung_endo,43,0.10,20,endothelial cell of lymphatic vessel,CellTypist,ok,1.7338,,0.8108,0.6923,0.9783,0.7787,0.000583,2,1,0.000583
tabula_lung_endo,43,0.10,20,endothelial cell of lymphatic vessel,scBalance,ok,1.7338,,0.918,0.8615,0.9825,0.7847,0.000583,1,0,0.0
tabula_lung_endo,43,0.10,20,endothelial cell of lymphatic vessel,scRareRefine,ok,1.7338,,0.9774,1.0,0.9559,0.8343,0.001748,2,0,0.0
tabula_lung_endo,43,all,208,endothelial cell of lymphatic vessel,scANVI,ok,1.4801,,0.9848,1.0,0.9701,0.8368,0.001166,0,0,0.0
tabula_lung_endo,43,all,208,endothelial cell of lymphatic vessel,kNN,ok,1.4801,3.0,0.9846,0.9846,0.9846,0.8216,0.000583,0,0,0.0
tabula_lung_endo,43,all,208,endothelial cell of lymphatic vessel,CellTypist,ok,1.4801,,0.9774,1.0,0.9559,0.826,0.001748,1,1,0.000583
tabula_lung_endo,43,all,208,endothelial cell of lymphatic vessel,scBalance,ok,1.4801,,0.9774,1.0,0.9559,0.8124,0.001748,1,1,0.000583
tabula_lung_endo,43,all,208,endothelial cell of lymphatic vessel,scRareRefine,ok,1.4801,,0.9774,1.0,0.9559,0.8348,0.001748,1,1,0.000583
tabula_lung_endo,44,0.01,5,endothelial cell of lymphatic vessel,scANVI,ok,2.0898,,0.7619,0.6154,1.0,0.7634,0.0,0,0,0.0
tabula_lung_endo,44,0.01,5,endothelial cell of lymphatic vessel,kNN,ok,2.0898,3.0,0.8793,0.7846,1.0,0.7847,0.0,13,0,0.0
tabula_lung_endo,44,0.01,5,endothelial cell of lymphatic vessel,CellTypist,ok,2.0898,,0.2432,0.1385,1.0,0.6226,0.0,1,0,0.0
tabula_lung_endo,44,0.01,5,endothelial cell of lymphatic vessel,scBalance,ok,2.0898,,0.6316,0.4615,1.0,0.729,0.0,6,0,0.0
tabula_lung_endo,44,0.01,5,endothelial cell of lymphatic vessel,scRareRefine,ok,2.0898,,0.9767,0.9692,0.9844,0.8207,0.000583,24,1,0.000583
tabula_lung_endo,44,0.05,10,endothelial cell of lymphatic vessel,scANVI,ok,1.797,,0.944,0.9077,0.9833,0.809,0.000583,0,0,0.0
tabula_lung_endo,44,0.05,10,endothelial cell of lymphatic vessel,kNN,ok,1.797,3.0,0.8983,0.8154,1.0,0.787,0.0,1,0,0.0
tabula_lung_endo,44,0.05,10,endothelial cell of lymphatic vessel,CellTypist,ok,1.797,,0.587,0.4154,1.0,0.7153,0.0,0,0,0.0
tabula_lung_endo,44,0.05,10,endothelial cell of lymphatic vessel,scBalance,ok,1.797,,0.6316,0.4615,1.0,0.7267,0.0,0,0,0.0
tabula_lung_endo,44,0.05,10,endothelial cell of lymphatic vessel,scRareRefine,ok,1.797,,0.9924,1.0,0.9848,0.8221,0.000583,6,0,0.0
tabula_lung_endo,44,0.10,20,endothelial cell of lymphatic vessel,scANVI,ok,1.6894,,0.9692,0.9692,0.9692,0.8228,0.001166,0,0,0.0
tabula_lung_endo,44,0.10,20,endothelial cell of lymphatic vessel,kNN,ok,1.6894,3.0,0.9516,0.9077,1.0,0.8027,0.0,0,0,0.0
tabula_lung_endo,44,0.10,20,endothelial cell of lymphatic vessel,CellTypist,ok,1.6894,,0.7255,0.5692,1.0,0.7515,0.0,0,0,0.0
tabula_lung_endo,44,0.10,20,endothelial cell of lymphatic vessel,scBalance,ok,1.6894,,0.9106,0.8615,0.9655,0.812,0.001166,0,0,0.0
tabula_lung_endo,44,0.10,20,endothelial cell of lymphatic vessel,scRareRefine,ok,1.6894,,0.9848,1.0,0.9701,0.8272,0.001166,2,0,0.0
tabula_lung_endo,44,all,208,endothelial cell of lymphatic vessel,scANVI,ok,1.6533,,0.9692,0.9692,0.9692,0.8283,0.001166,0,0,0.0
tabula_lung_endo,44,all,208,endothelial cell of lymphatic vessel,kNN,ok,1.6533,3.0,0.9764,0.9538,1.0,0.8146,0.0,0,0,0.0
tabula_lung_endo,44,all,208,endothelial cell of lymphatic vessel,CellTypist,ok,1.6533,,0.9774,1.0,0.9559,0.826,0.001748,3,1,0.000583
tabula_lung_endo,44,all,208,endothelial cell of lymphatic vessel,scBalance,ok,1.6533,,0.9692,0.9692,0.9692,0.8403,0.001166,2,0,0.0
tabula_lung_endo,44,all,208,endothelial cell of lymphatic vessel,scRareRefine,ok,1.6533,,0.9701,1.0,0.942,0.829,0.002331,4,2,0.001166
