dataset,seed,rare_train_size,method,sep,rare_f1,rare_recall,rare_precision,rare_fp_rate,rescue_ffr
tabula_sapiens_stomach,44,0.05,scRareRefine,1.8939,0.72,0.5625,1.0,0.0,0.0
tabula_sapiens_stomach,44,0.10,scANVI,1.8939,0.6087,0.4375,1.0,0.0,0.0
tabula_sapiens_stomach,44,0.10,kNN,1.8939,0.3158,0.1875,1.0,0.0,0.0
tabula_sapiens_stomach,44,0.10,scRareRefine,1.8939,0.72,0.5625,1.0,0.0,0.0
tabula_sapiens_stomach,44,all,scANVI,1.7388,0.6087,0.4375,1.0,0.0,0.0
tabula_sapiens_stomach,44,all,kNN,1.7388,0.5455,0.375,1.0,0.0,0.0
tabula_sapiens_stomach,44,all,scRareRefine,1.7388,0.7451,0.5938,1.0,0.0,0.0
pancreas_integrated,42,0.01,scANVI,1.4516,1.0,1.0,1.0,0.0,0.0
pancreas_integrated,42,0.01,kNN,1.4516,0.9778,0.9565,1.0,0.0,0.0
pancreas_integrated,42,0.01,scRareRefine,1.4516,1.0,1.0,1.0,0.0,0.0
pancreas_integrated,42,0.05,scANVI,1.5432,1.0,1.0,1.0,0.0,0.0
pancreas_integrated,42,0.05,kNN,1.5432,0.9787,1.0,0.9583,0.000588,0.000588
pancreas_integrated,42,0.05,scRareRefine,1.5432,1.0,1.0,1.0,0.0,0.0
pancreas_integrated,42,0.10,scANVI,1.341,0.9787,1.0,0.9583,0.000588,0.0
pancreas_integrated,42,0.10,kNN,1.341,1.0,1.0,1.0,0.0,0.0
pancreas_integrated,42,0.10,scRareRefine,1.341,0.9787,1.0,0.9583,0.000588,0.0
pancreas_integrated,42,all,scANVI,1.4442,0.9583,1.0,0.92,0.001176,0.0
pancreas_integrated,42,all,kNN,1.4442,0.9388,1.0,0.8846,0.001764,0.000588
pancreas_integrated,42,all,scRareRefine,1.4442,0.9583,1.0,0.92,0.001176,0.0
pancreas_integrated,43,0.01,scANVI,2.3225,1.0,1.0,1.0,0.0,0.0
pancreas_integrated,43,0.01,kNN,2.3225,1.0,1.0,1.0,0.0,0.0
pancreas_integrated,43,0.01,scRareRefine,2.3225,1.0,1.0,1.0,0.0,0.0
pancreas_integrated,43,0.05,scANVI,1.6065,1.0,1.0,1.0,0.0,0.0
pancreas_integrated,43,0.05,kNN,1.6065,1.0,1.0,1.0,0.0,0.0
