dataset,split_mode,seed,rare_train_size,rare_class,status,n_train,n_val,n_test,train_pct,val_pct,test_pct,rare_train,rare_val,rare_test,split_hash,git_sha,scANVI_f1,scANVI_recall,scANVI_precision,scRareRefine_f1,scRareRefine_recall,scRareRefine_precision,delta_f1,delta_recall,rescue_ffr,n_rescued,n_false_rescue,abstained,sep
tabula_lung_endo,cell_stratified,42,0.10,endothelial cell of lymphatic vessel,ok,7092,1520,1520,0.6999605211212001,0.15001973943939992,0.15001973943939992,215,46,46,f530d6d6a2a8cbfc,91746c9,0.989010989010989,0.9782608695652174,1.0,0.989010989010989,0.9782608695652174,1.0,0.0,0.0,0.0,0,0,True,
tabula_lung_endo,cell_stratified,42,all,endothelial cell of lymphatic vessel,ok,7092,1520,1520,0.6999605211212001,0.15001973943939992,0.15001973943939992,215,46,46,f530d6d6a2a8cbfc,91746c9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,True,
tabula_sapiens_stomach,batch_heldout,42,0.01,mast cell,ok,14277,9212,9575,0.43179893539801595,0.2786111783208323,0.28958988628115173,52,884,32,d796289a5b941ac3,unknown,0.5454545454545454,0.375,1.0,0.6382978723404256,0.46875,1.0,0.09284332688588015,0.09375,0.0,3,0,False,
tabula_sapiens_stomach,batch_heldout,42,0.05,mast cell,ok,14277,9212,9575,0.43179893539801595,0.2786111783208323,0.28958988628115173,52,884,32,d796289a5b941ac3,unknown,0.5454545454545454,0.375,1.0,0.6382978723404256,0.46875,1.0,0.09284332688588015,0.09375,0.0,3,0,False,
tabula_sapiens_stomach,batch_heldout,42,0.10,mast cell,ok,14277,9212,9575,0.43179893539801595,0.2786111783208323,0.28958988628115173,52,884,32,d796289a5b941ac3,unknown,0.5454545454545454,0.375,1.0,0.6382978723404256,0.46875,1.0,0.09284332688588015,0.09375,0.0,3,0,False,
tabula_sapiens_stomach,batch_heldout,42,all,mast cell,ok,14277,9212,9575,0.43179893539801595,0.2786111783208323,0.28958988628115173,52,884,32,d796289a5b941ac3,unknown,0.4,0.25,1.0,0.6086956521739131,0.4375,1.0,0.20869565217391306,0.1875,0.0,6,0,False,
tabula_sapiens_stomach,cell_stratified,42,0.01,mast cell,ok,23144,4960,4960,0.6999758045003629,0.15001209774981852,0.15001209774981852,677,145,146,3aa9911a4049ee7d,91746c9,0.9861111111111112,0.9726027397260274,1.0,0.9861111111111112,0.9726027397260274,1.0,0.0,0.0,0.0,0,0,True,
tabula_sapiens_stomach,cell_stratified,42,0.05,mast cell,ok,23144,4960,4960,0.6999758045003629,0.15001209774981852,0.15001209774981852,677,145,146,3aa9911a4049ee7d,91746c9,0.9861111111111112,0.9726027397260274,1.0,0.9861111111111112,0.9726027397260274,1.0,0.0,0.0,0.0,0,0,True,
tabula_sapiens_stomach,cell_stratified,42,0.10,mast cell,ok,23144,4960,4960,0.6999758045003629,0.15001209774981852,0.15001209774981852,677,145,146,3aa9911a4049ee7d,91746c9,0.9861111111111112,0.9726027397260274,1.0,0.9861111111111112,0.9726027397260274,1.0,0.0,0.0,0.0,0,0,True,
tabula_sapiens_stomach,cell_stratified,42,all,mast cell,ok,23144,4960,4960,0.6999758045003629,0.15001209774981852,0.15001209774981852,677,145,146,3aa9911a4049ee7d,91746c9,0.9861111111111112,0.9726027397260274,1.0,0.9861111111111112,0.9726027397260274,1.0,0.0,0.0,0.0,0,0,True,
