dataset,seed,rare_train_size,rare_class,split_mode,run_dir,variant,variant_group,status,error_reason,separability,alpha,split_hash,actual_training_labeled_rare_count,labeled_rare_id_sha256,effective_budget_key,rare_f1,rare_recall,rare_precision,true_rescues,false_rescues,all_rescues,rescue_precision,incremental_fpr,rescue_ffr,alpha_violation,abstain,abstain_reason,chosen_rank,tau,val_missed,n_candidate
immune_dc,42,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rareall,baseline,component,success,,1.762226411576769,0.01,33b8ce5bdff2e437,277,e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",277,""e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6""]",0.9397590361445783,0.9,0.9831932773109243,0,0,0,,0.0,0.0,False,False,baseline_no_rescue,0,,11,0
immune_dc,42,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rareall,minus_separability_gate,component,success,,1.762226411576769,0.01,33b8ce5bdff2e437,277,e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",277,""e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6""]",0.952755905511811,0.9307692307692308,0.9758064516129032,4,1,5,0.8,0.00016655562958027982,0.00016655562958027982,False,False,rescue_applied,1,0.16212077772999428,11,5
immune_dc,42,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rareall,minus_necessity_gate,component,success,,1.762226411576769,0.01,33b8ce5bdff2e437,277,e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",277,""e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6""]",0.952755905511811,0.9307692307692308,0.9758064516129032,4,1,5,0.8,0.00016655562958027982,0.00016655562958027982,False,False,rescue_applied,1,0.16212077772999428,11,5
immune_dc,42,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rareall,fixed_rank_1,component,success,,1.762226411576769,0.01,33b8ce5bdff2e437,277,e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",277,""e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6""]",0.952755905511811,0.9307692307692308,0.9758064516129032,4,1,5,0.8,0.00016655562958027982,0.00016655562958027982,False,False,rescue_applied,1,0.16212077772999428,11,5
immune_dc,42,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rareall,minus_conformal_tau,component,success,,1.762226411576769,0.01,33b8ce5bdff2e437,277,e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",277,""e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6""]",0.952755905511811,0.9307692307692308,0.9758064516129032,4,1,5,0.8,0.00016655562958027982,0.00016655562958027982,False,False,rescue_applied,1,-inf,11,5
immune_dc,42,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rareall,full_method,component,success,,1.762226411576769,0.01,33b8ce5bdff2e437,277,e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",277,""e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6""]",0.952755905511811,0.9307692307692308,0.9758064516129032,4,1,5,0.8,0.00016655562958027982,0.00016655562958027982,False,False,rescue_applied,1,0.16212077772999428,11,5
immune_dc,42,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rareall,rank_1,rank,success,,1.762226411576769,0.01,33b8ce5bdff2e437,277,e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",277,""e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6""]",0.952755905511811,0.9307692307692308,0.9758064516129032,4,1,5,0.8,0.00016655562958027982,0.00016655562958027982,False,False,rescue_applied,1,0.16212077772999428,11,5
immune_dc,42,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rareall,rank_2,rank,success,,1.762226411576769,0.01,33b8ce5bdff2e437,277,e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",277,""e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6""]",0.807570977917981,0.9846153846153847,0.6844919786096256,11,57,68,0.16176470588235295,0.00949367088607595,0.00949367088607595,False,False,rescue_applied,2,0.16212077772999428,11,566
immune_dc,42,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rareall,rank_3,rank,success,,1.762226411576769,0.01,33b8ce5bdff2e437,277,e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",277,""e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6""]",0.8025078369905956,0.9846153846153847,0.6772486772486772,11,59,70,0.15714285714285714,0.00982678214523651,0.00982678214523651,False,False,rescue_applied,3,0.16212077772999428,11,893
immune_dc,42,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rareall,adaptive_rank,rank,success,,1.762226411576769,0.01,33b8ce5bdff2e437,277,e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",277,""e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6""]",0.952755905511811,0.9307692307692308,0.9758064516129032,4,1,5,0.8,0.00016655562958027982,0.00016655562958027982,False,False,rescue_applied,1,0.16212077772999428,11,5
