dataset,rare_class,actual_training_labeled_rare_count,variant,variant_group,n_seeds,rare_f1_mean,rare_f1_std,rare_f1_min,rare_f1_max,rare_f1_n_defined,rare_recall_mean,rare_recall_std,rare_recall_min,rare_recall_max,rare_recall_n_defined,rescue_precision_mean,rescue_precision_std,rescue_precision_min,rescue_precision_max,rescue_precision_n_defined,incremental_fpr_mean,incremental_fpr_std,incremental_fpr_min,incremental_fpr_max,incremental_fpr_n_defined,abstention_rate,alpha_violation_rate,n_alpha_violations
pancreas_baron,gamma,106,minus_conformal_tau,component,3,0.9111370332927219,0.012884843339509207,0.896969696969697,0.9221556886227545,3,0.8953488372093025,0.034883720930232565,0.8604651162790697,0.9302325581395349,3,,,,,0,0.0,0.0,0.0,0.0,3,1.0,0.0,0
pancreas_baron,gamma,106,full_method,component,3,0.9111370332927219,0.012884843339509207,0.896969696969697,0.9221556886227545,3,0.8953488372093025,0.034883720930232565,0.8604651162790697,0.9302325581395349,3,,,,,0,0.0,0.0,0.0,0.0,3,1.0,0.0,0
pancreas_baron,gamma,106,rank_1,rank,3,0.9111370332927219,0.012884843339509207,0.896969696969697,0.9221556886227545,3,0.8953488372093025,0.034883720930232565,0.8604651162790697,0.9302325581395349,3,,,,,0,0.0,0.0,0.0,0.0,3,1.0,0.0,0
pancreas_baron,gamma,106,rank_2,rank,3,0.9111370332927219,0.012884843339509207,0.896969696969697,0.9221556886227545,3,0.8953488372093025,0.034883720930232565,0.8604651162790697,0.9302325581395349,3,,,,,0,0.0,0.0,0.0,0.0,3,1.0,0.0,0
pancreas_baron,gamma,106,rank_3,rank,3,0.9111370332927219,0.012884843339509207,0.896969696969697,0.9221556886227545,3,0.8953488372093025,0.034883720930232565,0.8604651162790697,0.9302325581395349,3,,,,,0,0.0,0.0,0.0,0.0,3,1.0,0.0,0
pancreas_baron,gamma,106,adaptive_rank,rank,3,0.9111370332927219,0.012884843339509207,0.896969696969697,0.9221556886227545,3,0.8953488372093025,0.034883720930232565,0.8604651162790697,0.9302325581395349,3,,,,,0,0.0,0.0,0.0,0.0,3,1.0,0.0,0
pancreas_integrated,endothelial,5,baseline,component,3,0.6666666666666666,0.5773502691896258,0.0,1.0,3,0.6666666666666666,0.5773502691896258,0.0,1.0,3,,,,,0,0.0,0.0,0.0,0.0,3,0.0,0.0,0
pancreas_integrated,endothelial,5,minus_separability_gate,component,3,1.0,0.0,1.0,1.0,3,1.0,0.0,1.0,1.0,3,1.0,,1.0,1.0,1,0.0,0.0,0.0,0.0,3,0.6666666666666666,0.0,0
pancreas_integrated,endothelial,5,minus_necessity_gate,component,3,0.979591836734694,0.03534797566467094,0.9387755102040817,1.0,3,1.0,0.0,1.0,1.0,3,0.5,0.7071067811865476,0.0,1.0,2,0.0005878894767783657,0.001018254443015213,0.0,0.001763668430335097,3,0.0,0.0,0
pancreas_integrated,endothelial,5,fixed_rank_1,component,3,1.0,0.0,1.0,1.0,3,1.0,0.0,1.0,1.0,3,1.0,,1.0,1.0,1,0.0,0.0,0.0,0.0,3,0.6666666666666666,0.0,0
pancreas_integrated,endothelial,5,minus_conformal_tau,component,3,1.0,0.0,1.0,1.0,3,1.0,0.0,1.0,1.0,3,1.0,,1.0,1.0,1,0.0,0.0,0.0,0.0,3,0.6666666666666666,0.0,0
pancreas_integrated,endothelial,5,full_method,component,3,1.0,0.0,1.0,1.0,3,1.0,0.0,1.0,1.0,3,1.0,,1.0,1.0,1,0.0,0.0,0.0,0.0,3,0.6666666666666666,0.0,0
pancreas_integrated,endothelial,5,rank_1,rank,3,1.0,0.0,1.0,1.0,3,1.0,0.0,1.0,1.0,3,1.0,,1.0,1.0,1,0.0,0.0,0.0,0.0,3,0.6666666666666666,0.0,0
