dataset,rare_class,seed,split_hash,actual_training_labeled_rare_count,labeled_rare_id_sha256,n_folded_nominal_budgets,folded_nominal_budgets,source_run_dirs,all_training_cells,total_labeled_training_cells,train_rare_pool,validation_rare,test_rare,all_split_rare,total_rare_supervision,training_rare_label_fraction,training_rare_share_of_all_split_rare,total_supervised_rare_share_of_all_split_rare,training_rare_label_share_of_training_cells
tabula_lung_endo,endothelial cell of lymphatic vessel,43,da9ffbdf489ba7b0,10,1d825d7683a8696384824afb7b44f380ab77087e8afbfd0102d8a030e496ee6e,1,"[""0.05""]","[""outputs\\tabula_lung_endo\\batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rare5pct""]",7464,7266,208,34,65,307,44,0.04807692307692308,0.03257328990228013,0.14332247557003258,0.0013397642015005359
tabula_lung_endo,endothelial cell of lymphatic vessel,43,da9ffbdf489ba7b0,20,799b09efffb22dee371856935f53bbe7a3aaafcaa53583e990b980153e318342,1,"[""0.10""]","[""outputs\\tabula_lung_endo\\batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rare10pct""]",7464,7276,208,34,65,307,54,0.09615384615384616,0.06514657980456026,0.1758957654723127,0.0026795284030010718
tabula_lung_endo,endothelial cell of lymphatic vessel,43,da9ffbdf489ba7b0,208,786544698553a7ca24d9c7e4437507154a7b522fde8ec7c87ddacf4bbab437a4,1,"[""all""]","[""outputs\\tabula_lung_endo\\batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rareall""]",7464,7464,208,34,65,307,242,1.0,0.6775244299674267,0.7882736156351792,0.027867095391211148
tabula_lung_endo,endothelial cell of lymphatic vessel,44,da9ffbdf489ba7b0,5,cbb53806c0bd3e1eb7af22f190ff2045b8878207ecfeabfd2eefda4a59fb3e67,1,"[""0.01""]","[""outputs\\tabula_lung_endo\\batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rare1pct""]",7464,7261,208,34,65,307,39,0.02403846153846154,0.016286644951140065,0.1270358306188925,0.0006698821007502679
tabula_lung_endo,endothelial cell of lymphatic vessel,44,da9ffbdf489ba7b0,10,465df10204080fde5624f28b9ca87ffbeabbd3a474fb6a7e05798575acaf9948,1,"[""0.05""]","[""outputs\\tabula_lung_endo\\batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rare5pct""]",7464,7266,208,34,65,307,44,0.04807692307692308,0.03257328990228013,0.14332247557003258,0.0013397642015005359
tabula_lung_endo,endothelial cell of lymphatic vessel,44,da9ffbdf489ba7b0,20,35d32d87bc9e2e6123dd3a53da509930e546b40a79edb27bfbe3f7bc03d9e605,1,"[""0.10""]","[""outputs\\tabula_lung_endo\\batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rare10pct""]",7464,7276,208,34,65,307,54,0.09615384615384616,0.06514657980456026,0.1758957654723127,0.0026795284030010718
tabula_lung_endo,endothelial cell of lymphatic vessel,44,da9ffbdf489ba7b0,208,786544698553a7ca24d9c7e4437507154a7b522fde8ec7c87ddacf4bbab437a4,1,"[""all""]","[""outputs\\tabula_lung_endo\\batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rareall""]",7464,7464,208,34,65,307,242,1.0,0.6775244299674267,0.7882736156351792,0.027867095391211148
tabula_sapiens_stomach,mast cell,42,d796289a5b941ac3,5,5c94000b0a848b99217042b2213877e7e3d11964bac6caf75c01005fef107370,3,"[""0.01"",""0.05"",""0.10""]","[""outputs\\tabula_sapiens_stomach\\batch_heldout_seed42_mast_cell_rare1pct"",""outputs\\tabula_sapiens_stomach\\batch_heldout_seed42_mast_cell_rare5pct"",""outputs\\tabula_sapiens_stomach\\batch_heldout_seed42_mast_cell_rare10pct""]",14277,14230,52,884,32,968,889,0.09615384615384616,0.005165289256198347,0.9183884297520661,0.00035021363031449183
tabula_sapiens_stomach,mast cell,42,d796289a5b941ac3,52,99b7a4321e1beb35d85a09e84f7eb37df196622256d563a021bdf06df9320b69,1,"[""all""]","[""outputs\\tabula_sapiens_stomach\\batch_heldout_seed42_mast_cell_rareall""]",14277,14277,52,884,32,968,936,1.0,0.05371900826446281,0.9669421487603306,0.003642221755270715
tabula_sapiens_stomach,mast cell,43,d796289a5b941ac3,5,05a0f7cde60e8c18f735bab9b14f01237bb3ae6aef492d795fc4d7b3c63455a2,3,"[""0.01"",""0.05"",""0.10""]","[""outputs\\tabula_sapiens_stomach\\batch_heldout_seed43_mast_cell_rare1pct"",""outputs\\tabula_sapiens_stomach\\batch_heldout_seed43_mast_cell_rare5pct"",""outputs\\tabula_sapiens_stomach\\batch_heldout_seed43_mast_cell_rare10pct""]",14277,14230,52,884,32,968,889,0.09615384615384616,0.005165289256198347,0.9183884297520661,0.00035021363031449183
