dataset,rare_class,actual_training_labeled_rare_count,seed,n_identity_runs,split_hashes,identity_hashes,folded_nominal_budgets,all_training_cells,total_labeled_training_cells,train_rare_pool,validation_rare,test_rare,all_split_rare,total_rare_supervision,training_rare_label_fraction,training_rare_share_of_all_split_rare,total_supervised_rare_share_of_all_split_rare,training_rare_label_share_of_training_cells
tabula_lung_endo,endothelial cell of lymphatic vessel,10,44,1,"[""da9ffbdf489ba7b0""]","[""465df10204080fde5624f28b9ca87ffbeabbd3a474fb6a7e05798575acaf9948""]","[""0.05""]",7464.0,7266.0,208.0,34.0,65.0,307.0,44.0,0.04807692307692308,0.03257328990228013,0.14332247557003258,0.0013397642015005359
tabula_lung_endo,endothelial cell of lymphatic vessel,20,44,1,"[""da9ffbdf489ba7b0""]","[""35d32d87bc9e2e6123dd3a53da509930e546b40a79edb27bfbe3f7bc03d9e605""]","[""0.10""]",7464.0,7276.0,208.0,34.0,65.0,307.0,54.0,0.09615384615384616,0.06514657980456026,0.1758957654723127,0.0026795284030010718
tabula_lung_endo,endothelial cell of lymphatic vessel,208,44,1,"[""da9ffbdf489ba7b0""]","[""786544698553a7ca24d9c7e4437507154a7b522fde8ec7c87ddacf4bbab437a4""]","[""all""]",7464.0,7464.0,208.0,34.0,65.0,307.0,242.0,1.0,0.6775244299674267,0.7882736156351792,0.027867095391211148
tabula_sapiens_stomach,mast cell,5,42,1,"[""d796289a5b941ac3""]","[""5c94000b0a848b99217042b2213877e7e3d11964bac6caf75c01005fef107370""]","[""0.01"",""0.05"",""0.10""]",14277.0,14230.0,52.0,884.0,32.0,968.0,889.0,0.09615384615384616,0.005165289256198347,0.9183884297520661,0.00035021363031449183
tabula_sapiens_stomach,mast cell,52,42,1,"[""d796289a5b941ac3""]","[""99b7a4321e1beb35d85a09e84f7eb37df196622256d563a021bdf06df9320b69""]","[""all""]",14277.0,14277.0,52.0,884.0,32.0,968.0,936.0,1.0,0.05371900826446281,0.9669421487603306,0.003642221755270715
tabula_sapiens_stomach,mast cell,5,43,1,"[""d796289a5b941ac3""]","[""05a0f7cde60e8c18f735bab9b14f01237bb3ae6aef492d795fc4d7b3c63455a2""]","[""0.01"",""0.05"",""0.10""]",14277.0,14230.0,52.0,884.0,32.0,968.0,889.0,0.09615384615384616,0.005165289256198347,0.9183884297520661,0.00035021363031449183
tabula_sapiens_stomach,mast cell,52,43,1,"[""d796289a5b941ac3""]","[""99b7a4321e1beb35d85a09e84f7eb37df196622256d563a021bdf06df9320b69""]","[""all""]",14277.0,14277.0,52.0,884.0,32.0,968.0,936.0,1.0,0.05371900826446281,0.9669421487603306,0.003642221755270715
tabula_sapiens_stomach,mast cell,5,44,1,"[""d796289a5b941ac3""]","[""fd67f4298f788f7c73becd9d49b00f3bf7acc898a423c4a79ea1a499f69710ff""]","[""0.01"",""0.05"",""0.10""]",14277.0,14230.0,52.0,884.0,32.0,968.0,889.0,0.09615384615384616,0.005165289256198347,0.9183884297520661,0.00035021363031449183
tabula_sapiens_stomach,mast cell,52,44,1,"[""d796289a5b941ac3""]","[""99b7a4321e1beb35d85a09e84f7eb37df196622256d563a021bdf06df9320b69""]","[""all""]",14277.0,14277.0,52.0,884.0,32.0,968.0,936.0,1.0,0.05371900826446281,0.9669421487603306,0.003642221755270715
tabula_small_intestine,intestinal tuft cell,5,42,1,"[""2d3d2e6d369f4cb5""]","[""04a107a54de440a767fb6f8f9a51ad9e164877cc8cc9d6970ee4ee6aa7f57d8b""]","[""0.01""]",24282.0,23972.0,315.0,55.0,65.0,435.0,60.0,0.015873015873015872,0.011494252873563218,0.13793103448275862,0.0002059138456469813
