dataset,dataset_label,rare_class,rare_train_size,rts_label,seed,method,rare_f1,rare_recall,rare_precision,overall_accuracy
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,44,baseline,0.9883720930232558,0.9883720930232558,0.9883720930232558,0.9808584686774942
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,44,knn_k15,0.9822485207100592,0.9651162790697676,1.0,0.9466357308584686
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,44,lr,0.0674157303370786,0.0348837209302325,1.0,0.931554524361949
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,44,scbalance,0.2626262626262626,0.1511627906976744,1.0,0.9344547563805105
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,44,scRareRefine,0.9826589595375722,0.9883720930232558,0.9770114942528736,0.980278422273782
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,44,baseline,0.0,0.0,0.0,0.931554524361949
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,44,knn_k15,0.0,0.0,0.0,0.9031322505800464
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,44,lr,0.0454545454545454,0.0232558139534883,1.0,0.931554524361949
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,44,scbalance,0.1505376344086021,0.0813953488372093,1.0,0.933294663573086
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,44,scRareRefine,0.297029702970297,0.1744186046511628,1.0,0.9402552204176334
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,44,baseline,0.9882352941176472,0.9767441860465116,1.0,0.9814385150812064
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,44,knn_k15,0.9316770186335404,0.872093023255814,1.0,0.9431554524361948
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,44,lr,0.0674157303370786,0.0348837209302325,1.0,0.9321345707656612
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,44,scbalance,0.0454545454545454,0.0232558139534883,1.0,0.9269141531322506
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,44,scRareRefine,0.9882352941176472,0.9767441860465116,1.0,0.9814385150812064
pancreas_gamma,Pancreas-γ,gamma,all,all,44,baseline,0.9942196531791908,1.0,0.9885057471264368,0.976798143851508
pancreas_gamma,Pancreas-γ,gamma,all,all,44,knn_k15,0.9942196531791908,1.0,0.9885057471264368,0.9466357308584686
pancreas_gamma,Pancreas-γ,gamma,all,all,44,lr,0.9826589595375722,0.9883720930232558,0.9770114942528736,0.976798143851508
