low_sep,dataset,seed,rts,sep,baseline_f1,f1,gain,ffr,n_false,abstain
1.6,tabula_sapiens_stomach,42,0.10,1.7794,0.5455,0.7451,0.1996,0.0,0,False
0.0,tabula_sapiens_stomach,42,all,1.8181,0.4,0.6939,0.2939,0.0,0,False
0.7,tabula_sapiens_stomach,42,all,1.8181,0.4,0.6939,0.2939,0.0,0,False
1.0,tabula_sapiens_stomach,42,all,1.8181,0.4,0.6939,0.2939,0.0,0,False
1.3,tabula_sapiens_stomach,42,all,1.8181,0.4,0.6939,0.2939,0.0,0,False
1.6,tabula_sapiens_stomach,42,all,1.8181,0.4,0.6939,0.2939,0.0,0,False
0.0,tabula_sapiens_stomach,43,0.01,2.5124,0.6667,0.6923,0.0256,0.0,0,False
0.7,tabula_sapiens_stomach,43,0.01,2.5124,0.6667,0.6923,0.0256,0.0,0,False
1.0,tabula_sapiens_stomach,43,0.01,2.5124,0.6667,0.6923,0.0256,0.0,0,False
1.3,tabula_sapiens_stomach,43,0.01,2.5124,0.6667,0.6923,0.0256,0.0,0,False
1.6,tabula_sapiens_stomach,43,0.01,2.5124,0.6667,0.6923,0.0256,0.0,0,False
0.0,tabula_sapiens_stomach,43,0.05,2.5124,0.6667,0.6923,0.0256,0.0,0,False
0.7,tabula_sapiens_stomach,43,0.05,2.5124,0.6667,0.6923,0.0256,0.0,0,False
1.0,tabula_sapiens_stomach,43,0.05,2.5124,0.6667,0.6923,0.0256,0.0,0,False
1.3,tabula_sapiens_stomach,43,0.05,2.5124,0.6667,0.6923,0.0256,0.0,0,False
1.6,tabula_sapiens_stomach,43,0.05,2.5124,0.6667,0.6923,0.0256,0.0,0,False
0.0,tabula_sapiens_stomach,43,0.10,2.5124,0.6667,0.6923,0.0256,0.0,0,False
0.7,tabula_sapiens_stomach,43,0.10,2.5124,0.6667,0.6923,0.0256,0.0,0,False
1.0,tabula_sapiens_stomach,43,0.10,2.5124,0.6667,0.6923,0.0256,0.0,0,False
1.3,tabula_sapiens_stomach,43,0.10,2.5124,0.6667,0.6923,0.0256,0.0,0,False
1.6,tabula_sapiens_stomach,43,0.10,2.5124,0.6667,0.6923,0.0256,0.0,0,False
0.0,tabula_sapiens_stomach,43,all,1.7546,0.6667,0.72,0.0533,0.0,0,False
0.7,tabula_sapiens_stomach,43,all,1.7546,0.6667,0.72,0.0533,0.0,0,False
1.0,tabula_sapiens_stomach,43,all,1.7546,0.6667,0.72,0.0533,0.0,0,False
1.3,tabula_sapiens_stomach,43,all,1.7546,0.6667,0.72,0.0533,0.0,0,False
1.6,tabula_sapiens_stomach,43,all,1.7546,0.6667,0.72,0.0533,0.0,0,False
0.0,tabula_sapiens_stomach,44,0.01,1.8939,0.6087,0.72,0.1113,0.0,0,False
0.7,tabula_sapiens_stomach,44,0.01,1.8939,0.6087,0.72,0.1113,0.0,0,False
1.0,tabula_sapiens_stomach,44,0.01,1.8939,0.6087,0.72,0.1113,0.0,0,False
1.3,tabula_sapiens_stomach,44,0.01,1.8939,0.6087,0.72,0.1113,0.0,0,False
1.6,tabula_sapiens_stomach,44,0.01,1.8939,0.6087,0.72,0.1113,0.0,0,False
0.0,tabula_sapiens_stomach,44,0.05,1.8939,0.6087,0.72,0.1113,0.0,0,False
0.7,tabula_sapiens_stomach,44,0.05,1.8939,0.6087,0.72,0.1113,0.0,0,False
1.0,tabula_sapiens_stomach,44,0.05,1.8939,0.6087,0.72,0.1113,0.0,0,False
1.3,tabula_sapiens_stomach,44,0.05,1.8939,0.6087,0.72,0.1113,0.0,0,False
1.6,tabula_sapiens_stomach,44,0.05,1.8939,0.6087,0.72,0.1113,0.0,0,False
0.0,tabula_sapiens_stomach,44,0.10,1.8939,0.6087,0.72,0.1113,0.0,0,False
0.7,tabula_sapiens_stomach,44,0.10,1.8939,0.6087,0.72,0.1113,0.0,0,False
1.0,tabula_sapiens_stomach,44,0.10,1.8939,0.6087,0.72,0.1113,0.0,0,False
